PassengerId,Parch,Fare,Cabin,Embarked
345,0,13,N,S
346,0,13,F,S
347,0,13,N,S
348,0,16.1,N,S
349,1,15.9,N,S
350,0,8.6625,N,S
351,0,9.225,N,S
352,0,35,C,S
353,1,7.2292,N,C
354,0,17.8,N,S
355,0,7.225,N,C
356,0,9.5,N,S
357,1,55,E,S
358,0,13,N,S
359,0,7.8792,N,Q
360,0,7.8792,N,Q
361,4,27.9,N,S
362,0,27.7208,N,C
363,1,14.4542,N,C
364,0,7.05,N,S
365,0,15.5,N,Q
366,0,7.25,N,S
367,0,75.25,D,C
368,0,7.2292,N,C
369,0,7.75,N,Q
370,0,69.3,B,C
371,0,55.4417,E,C
372,0,6.4958,N,S
373,0,8.05,N,S
374,0,135.6333,N,C
375,1,21.075,N,S
376,0,82.1708,N,C
377,0,7.25,N,S
378,2,211.5,C,C
379,0,4.0125,N,C
380,0,7.775,N,S
381,0,227.525,N,C
382,2,15.7417,N,C
383,0,7.925,N,S
384,0,52,N,S
385,0,7.8958,N,S
386,0,73.5,N,S
387,2,46.9,N,S
388,0,13,N,S
389,0,7.7292,N,Q
390,0,12,N,C
391,2,120,B,S
392,0,7.7958,N,S
393,0,7.925,N,S
394,0,113.275,D,C
395,2,16.7,G,S
396,0,7.7958,N,S
397,0,7.8542,N,S
398,0,26,N,S
399,0,10.5,N,S
400,0,12.65,N,S
401,0,7.925,N,S
402,0,8.05,N,S
403,0,9.825,N,S
404,0,15.85,N,S
405,0,8.6625,N,S
406,0,21,N,S
407,0,7.75,N,S
408,1,18.75,N,S
409,0,7.775,N,S
410,1,25.4667,N,S
411,0,7.8958,N,S
412,0,6.8583,N,Q
413,0,90,C,Q
414,0,0,N,S
415,0,7.925,N,S
416,0,8.05,N,S
417,1,32.5,N,S
418,2,13,N,S
419,0,13,N,S
420,2,24.15,N,S
421,0,7.8958,N,C
422,0,7.7333,N,Q
423,0,7.875,N,S
424,1,14.4,N,S
425,1,20.2125,N,S
426,0,7.25,N,S
427,0,26,N,S
428,0,26,N,S
429,0,7.75,N,Q
430,0,8.05,E,S
431,0,26.55,C,S
432,0,16.1,N,S
433,0,26,N,S
434,0,7.125,N,S
435,0,55.9,E,S
436,2,120,B,S
437,2,34.375,N,S
438,3,18.75,N,S
439,4,263,C,S
440,0,10.5,N,S
441,1,26.25,N,S
442,0,9.5,N,S
443,0,7.775,N,S
444,0,13,N,S
445,0,8.1125,N,S
446,2,81.8583,A,S
447,1,19.5,N,S
448,0,26.55,N,S
449,1,19.2583,N,C
450,0,30.5,C,S
451,2,27.75,N,S
452,0,19.9667,N,S
453,0,27.75,C,C
454,0,89.1042,C,C
455,0,8.05,N,S
456,0,7.8958,N,C
457,0,26.55,E,S
458,0,51.8625,D,S
459,0,10.5,N,S
460,0,7.75,N,Q
461,0,26.55,E,S
462,0,8.05,N,S
463,0,38.5,E,S
464,0,13,N,S
465,0,8.05,N,S
466,0,7.05,N,S
467,0,0,N,S
468,0,26.55,N,S
469,0,7.725,N,Q
470,1,19.2583,N,C
471,0,7.25,N,S
472,0,8.6625,N,S
473,2,27.75,N,S
474,0,13.7917,D,C
475,0,9.8375,N,S
476,0,52,A,S
477,0,21,N,S
478,0,7.0458,N,S
479,0,7.5208,N,S
480,1,12.2875,N,S
481,2,46.9,N,S
482,0,0,N,S
483,0,8.05,N,S
484,0,9.5875,N,S
485,0,91.0792,B,C
486,1,25.4667,N,S
487,0,90,C,S
488,0,29.7,B,C
489,0,8.05,N,S
490,1,15.9,N,S
491,0,19.9667,N,S
492,0,7.25,N,S
493,0,30.5,C,S
494,0,49.5042,N,C
495,0,8.05,N,S
496,0,14.4583,N,C
497,0,78.2667,D,C
498,0,15.1,N,S
499,2,151.55,C,S
500,0,7.7958,N,S
501,0,8.6625,N,S
502,0,7.75,N,Q
503,0,7.6292,N,Q
504,0,9.5875,N,S
505,0,86.5,B,S
506,0,108.9,C,C
507,2,26,N,S
508,0,26.55,N,S
509,0,22.525,N,S
510,0,56.4958,N,S
511,0,7.75,N,Q
512,0,8.05,N,S
513,0,26.2875,E,S
514,0,59.4,N,C
515,0,7.4958,N,S
516,0,34.0208,D,S
517,0,10.5,F,S
518,0,24.15,N,Q
519,0,26,N,S
520,0,7.8958,N,S
521,0,93.5,B,S
522,0,7.8958,N,S
523,0,7.225,N,C
524,1,57.9792,B,C
525,0,7.2292,N,C
526,0,7.75,N,Q
527,0,10.5,N,S
528,0,221.7792,C,S
529,0,7.925,N,S
530,1,11.5,N,S
531,1,26,N,S
532,0,7.2292,N,C
533,1,7.2292,N,C
534,2,22.3583,N,C
535,0,8.6625,N,S
536,2,26.25,N,S
537,0,26.55,B,S
538,0,106.425,N,C
539,0,14.5,N,S
540,2,49.5,B,C
541,2,71,B,S
542,2,31.275,N,S
543,2,31.275,N,S
544,0,26,N,S
545,0,106.425,C,C
546,0,26,N,S
547,0,26,N,S
548,0,13.8625,N,C
549,1,20.525,N,S
550,1,36.75,N,S
551,2,110.8833,C,C
552,0,26,N,S
553,0,7.8292,N,Q
554,0,7.225,N,C
555,0,7.775,N,S
556,0,26.55,N,S
557,0,39.6,A,C
558,0,227.525,N,C
559,1,79.65,E,S
560,0,17.4,N,S
561,0,7.75,N,Q
562,0,7.8958,N,S
563,0,13.5,N,S
564,0,8.05,N,S
565,0,8.05,N,S
566,0,24.15,N,S
567,0,7.8958,N,S
568,4,21.075,N,S
569,0,7.2292,N,C
570,0,7.8542,N,S
571,0,10.5,N,S
572,0,51.4792,C,S
573,0,26.3875,E,S
574,0,7.75,N,Q
575,0,8.05,N,S
576,0,14.5,N,S
577,0,13,N,S
578,0,55.9,E,S
579,0,14.4583,N,C
580,0,7.925,N,S
581,1,30,N,S
582,1,110.8833,C,C
583,0,26,N,S
584,0,40.125,A,C
585,0,8.7125,N,C
586,2,79.65,E,S
587,0,15,N,S
588,1,79.2,B,C
589,0,8.05,N,S
590,0,8.05,N,S
591,0,7.125,N,S
592,0,78.2667,D,C
593,0,7.25,N,S
594,2,7.75,N,Q
595,0,26,N,S
596,1,24.15,N,S
597,0,33,N,S
598,0,0,N,S
599,0,7.225,N,C
600,0,56.9292,A,C
601,1,27,N,S
602,0,7.8958,N,S
603,0,42.4,N,S
604,0,8.05,N,S
605,0,26.55,N,C
606,0,15.55,N,S
607,0,7.8958,N,S
608,0,30.5,N,S
609,2,41.5792,N,C
610,0,153.4625,C,S
611,5,31.275,N,S
612,0,7.05,N,S
613,0,15.5,N,Q
614,0,7.75,N,Q
615,0,8.05,N,S
616,2,65,N,S
617,1,14.4,N,S
618,0,16.1,N,S
619,1,39,F,S
620,0,10.5,N,S
621,0,14.4542,N,C
622,0,52.5542,D,S
623,1,15.7417,N,C
624,0,7.8542,N,S
625,0,16.1,N,S
626,0,32.3208,D,S
627,0,12.35,N,Q
628,0,77.9583,D,S
629,0,7.8958,N,S
630,0,7.7333,N,Q
631,0,30,A,S
632,0,7.0542,N,S
633,0,30.5,B,C
634,0,0,N,S
635,2,27.9,N,S
636,0,13,N,S
637,0,7.925,N,S
638,1,26.25,N,S
639,5,39.6875,N,S
640,0,16.1,N,S
641,0,7.8542,N,S
642,0,69.3,B,C
643,2,27.9,N,S
644,0,56.4958,N,S
645,1,19.2583,N,C
646,0,76.7292,D,C
647,0,7.8958,N,S
648,0,35.5,A,C
649,0,7.55,N,S
650,0,7.55,N,S
651,0,7.8958,N,S
652,1,23,N,S
653,0,8.4333,N,S
654,0,7.8292,N,Q
655,0,6.75,N,Q
656,0,73.5,N,S
657,0,7.8958,N,S
658,1,15.5,N,Q
659,0,13,N,S
660,2,113.275,D,C
661,0,133.65,N,S
662,0,7.225,N,C
663,0,25.5875,E,S
664,0,7.4958,N,S
665,0,7.925,N,S
666,0,73.5,N,S
667,0,13,N,S
668,0,7.775,N,S
669,0,8.05,N,S
670,0,52,C,S
671,1,39,N,S
672,0,52,B,S
673,0,10.5,N,S
674,0,13,N,S
675,0,0,N,S
676,0,7.775,N,S
677,0,8.05,N,S
678,0,9.8417,N,S
679,6,46.9,N,S
680,1,512.3292,B,C
681,0,8.1375,N,Q
682,0,76.7292,D,C
683,0,9.225,N,S
684,2,46.9,N,S
685,1,39,N,S
686,2,41.5792,N,C
687,1,39.6875,N,S
688,0,10.1708,N,S
689,0,7.7958,N,S
690,1,211.3375,B,S
691,0,57,B,S
692,1,13.4167,N,C
693,0,56.4958,N,S
694,0,7.225,N,C
695,0,26.55,N,S
696,0,13.5,N,S
697,0,8.05,N,S
698,0,7.7333,N,Q
699,1,110.8833,C,C
700,0,7.65,F,S
701,0,227.525,C,C
702,0,26.2875,E,S
703,1,14.4542,N,C
704,0,7.7417,N,Q
705,0,7.8542,N,S
706,0,26,N,S
707,0,13.5,N,S
708,0,26.2875,E,S
709,0,151.55,N,S
710,1,15.2458,N,C
711,0,49.5042,C,C
712,0,26.55,C,S
713,0,52,C,S
714,0,9.4833,N,S
715,0,13,N,S
716,0,7.65,F,S
717,0,227.525,C,C
718,0,10.5,E,S
719,0,15.5,N,Q
720,0,7.775,N,S
721,1,33,N,S
722,0,7.0542,N,S
723,0,13,N,S
724,0,13,N,S
725,0,53.1,E,S
726,0,8.6625,N,S
727,0,21,N,S
728,0,7.7375,N,Q
729,0,26,N,S
730,0,7.925,N,S
731,0,211.3375,B,S
732,0,18.7875,N,C
733,0,0,N,S
734,0,13,N,S
735,0,13,N,S
736,0,16.1,N,S
737,3,34.375,N,S
738,0,512.3292,B,C
739,0,7.8958,N,S
740,0,7.8958,N,S
741,0,30,D,S
742,0,78.85,C,S
743,2,262.375,B,C
744,0,16.1,N,S
745,0,7.925,N,S
746,1,71,B,S
747,1,20.25,N,S
748,0,13,N,S
749,0,53.1,D,S
750,0,7.75,N,Q
751,1,23,N,S
752,1,12.475,E,S
753,0,9.5,N,S
754,0,7.8958,N,S
755,2,65,N,S
756,1,14.5,N,S
757,0,7.7958,N,S
758,0,11.5,N,S
759,0,8.05,N,S
760,0,86.5,B,S
761,0,14.5,N,S
762,0,7.125,N,S
763,0,7.2292,N,C
764,2,120,B,S
765,0,7.775,N,S
766,0,77.9583,D,S
767,0,39.6,N,C
768,0,7.75,N,Q
769,0,24.15,N,Q
770,0,8.3625,N,S
771,0,9.5,N,S
772,0,7.8542,N,S
773,0,10.5,E,S
774,0,7.225,N,C
775,3,23,N,S
776,0,7.75,N,S
777,0,7.75,F,Q
778,0,12.475,N,S
779,0,7.7375,N,Q
780,1,211.3375,B,S
781,0,7.2292,N,C
782,0,57,B,S
783,0,30,D,S
784,2,23.45,N,S
785,0,7.05,N,S
786,0,7.25,N,S
787,0,7.4958,N,S
788,1,29.125,N,Q
789,2,20.575,N,S
790,0,79.2,B,C
791,0,7.75,N,Q
792,0,26,N,S
793,2,69.55,N,S
794,0,30.6958,N,C
795,0,7.8958,N,S
796,0,13,N,S
797,0,25.9292,D,S
798,0,8.6833,N,S
799,0,7.2292,N,C
800,1,24.15,N,S
801,0,13,N,S
802,1,26.25,N,S
803,2,120,B,S
804,1,8.5167,N,C
805,0,6.975,N,S
806,0,7.775,N,S
807,0,0,A,S
808,0,7.775,N,S
809,0,13,N,S
810,0,53.1,E,S
811,0,7.8875,N,S
812,0,24.15,N,S
813,0,10.5,N,S
814,2,31.275,N,S
815,0,8.05,N,S
816,0,0,B,S
817,0,7.925,N,S
818,1,37.0042,N,C
819,0,6.45,N,S
820,2,27.9,N,S
821,1,93.5,B,S
822,0,8.6625,N,S
823,0,0,N,S
824,1,12.475,E,S
825,1,39.6875,N,S
826,0,6.95,N,Q
827,0,56.4958,N,S
828,2,37.0042,N,C
829,0,7.75,N,Q
830,0,80,B,S
831,0,14.4542,N,C
832,1,18.75,N,S
833,0,7.2292,N,C
834,0,7.8542,N,S
835,0,8.3,N,S
836,1,83.1583,E,C
837,0,8.6625,N,S
838,0,8.05,N,S
839,0,56.4958,N,S
840,0,29.7,C,C
841,0,7.925,N,S
842,0,10.5,N,S
843,0,31,N,C
844,0,6.4375,N,C
845,0,8.6625,N,S
846,0,7.55,N,S
847,2,69.55,N,S
848,0,7.8958,N,C
849,1,33,N,S
850,0,89.1042,C,C
851,2,31.275,N,S
852,0,7.775,N,S
853,1,15.2458,N,C
854,1,39.4,D,S
855,0,26,N,S
856,1,9.35,N,S
857,1,164.8667,N,S
858,0,26.55,E,S
859,3,19.2583,N,C
860,0,7.2292,N,C
861,0,14.1083,N,S
862,0,11.5,N,S
863,0,25.9292,D,S
864,2,69.55,N,S
865,0,13,N,S
866,0,13,N,S
867,0,13.8583,N,C
868,0,50.4958,A,S
869,0,9.5,N,S
870,1,11.1333,N,S
871,0,7.8958,N,S
872,1,52.5542,D,S
873,0,5,B,S
874,0,9,N,S
875,0,24,N,C
876,0,7.225,N,C
877,0,9.8458,N,S
878,0,7.8958,N,S
879,0,7.8958,N,S
880,1,83.1583,C,C
881,1,26,N,S
882,0,7.8958,N,S
883,0,10.5167,N,S
884,0,10.5,N,S
885,0,7.05,N,S
886,5,29.125,N,Q
887,0,13,N,S
888,0,30,B,S
889,2,23.45,N,S
890,0,30,C,C
891,0,7.75,N,Q
