PassengerId,Sex,SibSp,Parch,Fare,Cabin,Embarked
85,female,0,0,10.5,N,S
86,female,3,0,15.85,N,S
87,male,1,3,34.375,N,S
88,male,0,0,8.05,N,S
89,female,3,2,263,C,S
90,male,0,0,8.05,N,S
91,male,0,0,8.05,N,S
92,male,0,0,7.8542,N,S
93,male,1,0,61.175,E,S
94,male,1,2,20.575,N,S
95,male,0,0,7.25,N,S
96,male,0,0,8.05,N,S
97,male,0,0,34.6542,A,C
98,male,0,1,63.3583,D,C
99,female,0,1,23,N,S
100,male,1,0,26,N,S
101,female,0,0,7.8958,N,S
102,male,0,0,7.8958,N,S
103,male,0,1,77.2875,D,S
104,male,0,0,8.6542,N,S
105,male,2,0,7.925,N,S
106,male,0,0,7.8958,N,S
107,female,0,0,7.65,N,S
108,male,0,0,7.775,N,S
109,male,0,0,7.8958,N,S
110,female,1,0,24.15,N,Q
111,male,0,0,52,C,S
112,female,1,0,14.4542,N,C
113,male,0,0,8.05,N,S
114,female,1,0,9.825,N,S
115,female,0,0,14.4583,N,C
116,male,0,0,7.925,N,S
117,male,0,0,7.75,N,Q
118,male,1,0,21,N,S
119,male,0,1,247.5208,B,C
120,female,4,2,31.275,N,S
121,male,2,0,73.5,N,S
122,male,0,0,8.05,N,S
123,male,1,0,30.0708,N,C
124,female,0,0,13,E,S
125,male,0,1,77.2875,D,S
126,male,1,0,11.2417,N,C
127,male,0,0,7.75,N,Q
128,male,0,0,7.1417,N,S
129,female,1,1,22.3583,F,C
130,male,0,0,6.975,N,S
131,male,0,0,7.8958,N,C
132,male,0,0,7.05,N,S
133,female,1,0,14.5,N,S
134,female,1,0,26,N,S
135,male,0,0,13,N,S
136,male,0,0,15.0458,N,C
137,female,0,2,26.2833,D,S
138,male,1,0,53.1,C,S
139,male,0,0,9.2167,N,S
140,male,0,0,79.2,B,C
141,female,0,2,15.2458,N,C
142,female,0,0,7.75,N,S
143,female,1,0,15.85,N,S
144,male,0,0,6.75,N,Q
145,male,0,0,11.5,N,S
146,male,1,1,36.75,N,S
147,male,0,0,7.7958,N,S
148,female,2,2,34.375,N,S
149,male,0,2,26,F,S
150,male,0,0,13,N,S
151,male,0,0,12.525,N,S
152,female,1,0,66.6,C,S
153,male,0,0,8.05,N,S
154,male,0,2,14.5,N,S
155,male,0,0,7.3125,N,S
156,male,0,1,61.3792,N,C
157,female,0,0,7.7333,N,Q
158,male,0,0,8.05,N,S
159,male,0,0,8.6625,N,S
160,male,8,2,69.55,N,S
161,male,0,1,16.1,N,S
162,female,0,0,15.75,N,S
163,male,0,0,7.775,N,S
164,male,0,0,8.6625,N,S
165,male,4,1,39.6875,N,S
166,male,0,2,20.525,N,S
167,female,0,1,55,E,S
168,female,1,4,27.9,N,S
169,male,0,0,25.925,N,S
170,male,0,0,56.4958,N,S
171,male,0,0,33.5,B,S
172,male,4,1,29.125,N,Q
173,female,1,1,11.1333,N,S
174,male,0,0,7.925,N,S
175,male,0,0,30.6958,A,C
176,male,1,1,7.8542,N,S
177,male,3,1,25.4667,N,S
178,female,0,0,28.7125,C,C
179,male,0,0,13,N,S
180,male,0,0,0,N,S
181,female,8,2,69.55,N,S
182,male,0,0,15.05,N,C
183,male,4,2,31.3875,N,S
184,male,2,1,39,F,S
185,female,0,2,22.025,N,S
186,male,0,0,50,A,S
187,female,1,0,15.5,N,Q
188,male,0,0,26.55,N,S
189,male,1,1,15.5,N,Q
190,male,0,0,7.8958,N,S
191,female,0,0,13,N,S
192,male,0,0,13,N,S
193,female,1,0,7.8542,N,S
194,male,1,1,26,F,S
195,female,0,0,27.7208,B,C
196,female,0,0,146.5208,B,C
197,male,0,0,7.75,N,Q
198,male,0,1,8.4042,N,S
199,female,0,0,7.75,N,Q
200,female,0,0,13,N,S
201,male,0,0,9.5,N,S
202,male,8,2,69.55,N,S
203,male,0,0,6.4958,N,S
204,male,0,0,7.225,N,C
205,male,0,0,8.05,N,S
206,female,0,1,10.4625,G,S
207,male,1,0,15.85,N,S
208,male,0,0,18.7875,N,C
209,female,0,0,7.75,N,Q
210,male,0,0,31,A,C
211,male,0,0,7.05,N,S
212,female,0,0,21,N,S
213,male,0,0,7.25,N,S
214,male,0,0,13,N,S
215,male,1,0,7.75,N,Q
216,female,1,0,113.275,D,C
217,female,0,0,7.925,N,S
218,male,1,0,27,N,S
219,female,0,0,76.2917,D,C
220,male,0,0,10.5,N,S
221,male,0,0,8.05,N,S
222,male,0,0,13,N,S
223,male,0,0,8.05,N,S
224,male,0,0,7.8958,N,S
225,male,1,0,90,C,S
226,male,0,0,9.35,N,S
227,male,0,0,10.5,N,S
228,male,0,0,7.25,N,S
229,male,0,0,13,N,S
230,female,3,1,25.4667,N,S
231,female,1,0,83.475,C,S
232,male,0,0,7.775,N,S
233,male,0,0,13.5,N,S
234,female,4,2,31.3875,N,S
235,male,0,0,10.5,N,S
236,female,0,0,7.55,N,S
237,male,1,0,26,N,S
238,female,0,2,26.25,N,S
239,male,0,0,10.5,N,S
240,male,0,0,12.275,N,S
241,female,1,0,14.4542,N,C
242,female,1,0,15.5,N,Q
243,male,0,0,10.5,N,S
244,male,0,0,7.125,N,S
245,male,0,0,7.225,N,C
246,male,2,0,90,C,Q
247,female,0,0,7.775,N,S
248,female,0,2,14.5,N,S
249,male,1,1,52.5542,D,S
250,male,1,0,26,N,S
251,male,0,0,7.25,N,S
252,female,1,1,10.4625,G,S
253,male,0,0,26.55,C,S
254,male,1,0,16.1,N,S
255,female,0,2,20.2125,N,S
256,female,0,2,15.2458,N,C
257,female,0,0,79.2,N,C
258,female,0,0,86.5,B,S
259,female,0,0,512.3292,N,C
260,female,0,1,26,N,S
261,male,0,0,7.75,N,Q
262,male,4,2,31.3875,N,S
263,male,1,1,79.65,E,S
264,male,0,0,0,B,S
265,female,0,0,7.75,N,Q
266,male,0,0,10.5,N,S
267,male,4,1,39.6875,N,S
268,male,1,0,7.775,N,S
269,female,0,1,153.4625,C,S
270,female,0,0,135.6333,C,S
271,male,0,0,31,N,S
272,male,0,0,0,N,S
273,female,0,1,19.5,N,S
274,male,0,1,29.7,C,C
275,female,0,0,7.75,N,Q
276,female,1,0,77.9583,D,S
277,female,0,0,7.75,N,S
278,male,0,0,0,N,S
279,male,4,1,29.125,N,Q
280,female,1,1,20.25,N,S
281,male,0,0,7.75,N,Q
282,male,0,0,7.8542,N,S
283,male,0,0,9.5,N,S
284,male,0,0,8.05,N,S
285,male,0,0,26,A,S
286,male,0,0,8.6625,N,C
287,male,0,0,9.5,N,S
288,male,0,0,7.8958,N,S
289,male,0,0,13,N,S
290,female,0,0,7.75,N,Q
291,female,0,0,78.85,N,S
292,female,1,0,91.0792,B,C
293,male,0,0,12.875,D,C
294,female,0,0,8.85,N,S
295,male,0,0,7.8958,N,S
296,male,0,0,27.7208,N,C
297,male,0,0,7.2292,N,C
298,female,1,2,151.55,C,S
299,male,0,0,30.5,C,S
300,female,0,1,247.5208,B,C
301,female,0,0,7.75,N,Q
302,male,2,0,23.25,N,Q
303,male,0,0,0,N,S
304,female,0,0,12.35,E,Q
305,male,0,0,8.05,N,S
306,male,1,2,151.55,C,S
307,female,0,0,110.8833,N,C
308,female,1,0,108.9,C,C
309,male,1,0,24,N,C
310,female,0,0,56.9292,E,C
311,female,0,0,83.1583,C,C
312,female,2,2,262.375,B,C
313,female,1,1,26,N,S
314,male,0,0,7.8958,N,S
315,male,1,1,26.25,N,S
316,female,0,0,7.8542,N,S
317,female,1,0,26,N,S
318,male,0,0,14,N,S
319,female,0,2,164.8667,C,S
320,female,1,1,134.5,E,C
321,male,0,0,7.25,N,S
322,male,0,0,7.8958,N,S
323,female,0,0,12.35,N,Q
324,female,1,1,29,N,S
325,male,8,2,69.55,N,S
326,female,0,0,135.6333,C,C
327,male,0,0,6.2375,N,S
328,female,0,0,13,D,S
329,female,1,1,20.525,N,S
330,female,0,1,57.9792,B,C
331,female,2,0,23.25,N,Q
332,male,0,0,28.5,C,S
333,male,0,1,153.4625,C,S
334,male,2,0,18,N,S
335,female,1,0,133.65,N,S
336,male,0,0,7.8958,N,S
337,male,1,0,66.6,C,S
338,female,0,0,134.5,E,C
339,male,0,0,8.05,N,S
340,male,0,0,35.5,T,S
341,male,1,1,26,F,S
342,female,3,2,263,C,S
343,male,0,0,13,N,S
344,male,0,0,13,N,S
345,male,0,0,13,N,S
346,female,0,0,13,F,S
347,female,0,0,13,N,S
348,female,1,0,16.1,N,S
349,male,1,1,15.9,N,S
350,male,0,0,8.6625,N,S
351,male,0,0,9.225,N,S
352,male,0,0,35,C,S
353,male,1,1,7.2292,N,C
354,male,1,0,17.8,N,S
355,male,0,0,7.225,N,C
356,male,0,0,9.5,N,S
357,female,0,1,55,E,S
358,female,0,0,13,N,S
359,female,0,0,7.8792,N,Q
360,female,0,0,7.8792,N,Q
361,male,1,4,27.9,N,S
362,male,1,0,27.7208,N,C
363,female,0,1,14.4542,N,C
364,male,0,0,7.05,N,S
365,male,1,0,15.5,N,Q
366,male,0,0,7.25,N,S
367,female,1,0,75.25,D,C
368,female,0,0,7.2292,N,C
369,female,0,0,7.75,N,Q
370,female,0,0,69.3,B,C
371,male,1,0,55.4417,E,C
372,male,1,0,6.4958,N,S
373,male,0,0,8.05,N,S
374,male,0,0,135.6333,N,C
375,female,3,1,21.075,N,S
376,female,1,0,82.1708,N,C
377,female,0,0,7.25,N,S
378,male,0,2,211.5,C,C
379,male,0,0,4.0125,N,C
380,male,0,0,7.775,N,S
381,female,0,0,227.525,N,C
382,female,0,2,15.7417,N,C
383,male,0,0,7.925,N,S
384,female,1,0,52,N,S
385,male,0,0,7.8958,N,S
386,male,0,0,73.5,N,S
387,male,5,2,46.9,N,S
388,female,0,0,13,N,S
389,male,0,0,7.7292,N,Q
390,female,0,0,12,N,C
391,male,1,2,120,B,S
392,male,0,0,7.7958,N,S
393,male,2,0,7.925,N,S
394,female,1,0,113.275,D,C
395,female,0,2,16.7,G,S
396,male,0,0,7.7958,N,S
397,female,0,0,7.8542,N,S
398,male,0,0,26,N,S
399,male,0,0,10.5,N,S
400,female,0,0,12.65,N,S
401,male,0,0,7.925,N,S
402,male,0,0,8.05,N,S
403,female,1,0,9.825,N,S
404,male,1,0,15.85,N,S
405,female,0,0,8.6625,N,S
406,male,1,0,21,N,S
407,male,0,0,7.75,N,S
408,male,1,1,18.75,N,S
409,male,0,0,7.775,N,S
410,female,3,1,25.4667,N,S
411,male,0,0,7.8958,N,S
412,male,0,0,6.8583,N,Q
413,female,1,0,90,C,Q
414,male,0,0,0,N,S
415,male,0,0,7.925,N,S
416,female,0,0,8.05,N,S
417,female,1,1,32.5,N,S
418,female,0,2,13,N,S
419,male,0,0,13,N,S
420,female,0,2,24.15,N,S
421,male,0,0,7.8958,N,C
422,male,0,0,7.7333,N,Q
423,male,0,0,7.875,N,S
424,female,1,1,14.4,N,S
425,male,1,1,20.2125,N,S
426,male,0,0,7.25,N,S
427,female,1,0,26,N,S
428,female,0,0,26,N,S
429,male,0,0,7.75,N,Q
430,male,0,0,8.05,E,S
431,male,0,0,26.55,C,S
432,female,1,0,16.1,N,S
433,female,1,0,26,N,S
434,male,0,0,7.125,N,S
435,male,1,0,55.9,E,S
436,female,1,2,120,B,S
437,female,2,2,34.375,N,S
438,female,2,3,18.75,N,S
439,male,1,4,263,C,S
440,male,0,0,10.5,N,S
441,female,1,1,26.25,N,S
442,male,0,0,9.5,N,S
443,male,1,0,7.775,N,S
444,female,0,0,13,N,S
445,male,0,0,8.1125,N,S
446,male,0,2,81.8583,A,S
447,female,0,1,19.5,N,S
448,male,0,0,26.55,N,S
449,female,2,1,19.2583,N,C
450,male,0,0,30.5,C,S
451,male,1,2,27.75,N,S
452,male,1,0,19.9667,N,S
453,male,0,0,27.75,C,C
454,male,1,0,89.1042,C,C
455,male,0,0,8.05,N,S
456,male,0,0,7.8958,N,C
457,male,0,0,26.55,E,S
458,female,1,0,51.8625,D,S
459,female,0,0,10.5,N,S
460,male,0,0,7.75,N,Q
461,male,0,0,26.55,E,S
462,male,0,0,8.05,N,S
463,male,0,0,38.5,E,S
464,male,0,0,13,N,S
465,male,0,0,8.05,N,S
466,male,0,0,7.05,N,S
467,male,0,0,0,N,S
468,male,0,0,26.55,N,S
469,male,0,0,7.725,N,Q
470,female,2,1,19.2583,N,C
471,male,0,0,7.25,N,S
472,male,0,0,8.6625,N,S
473,female,1,2,27.75,N,S
474,female,0,0,13.7917,D,C
475,female,0,0,9.8375,N,S
476,male,0,0,52,A,S
477,male,1,0,21,N,S
478,male,1,0,7.0458,N,S
479,male,0,0,7.5208,N,S
480,female,0,1,12.2875,N,S
481,male,5,2,46.9,N,S
482,male,0,0,0,N,S
483,male,0,0,8.05,N,S
484,female,0,0,9.5875,N,S
485,male,1,0,91.0792,B,C
486,female,3,1,25.4667,N,S
487,female,1,0,90,C,S
488,male,0,0,29.7,B,C
489,male,0,0,8.05,N,S
490,male,1,1,15.9,N,S
491,male,1,0,19.9667,N,S
492,male,0,0,7.25,N,S
493,male,0,0,30.5,C,S
494,male,0,0,49.5042,N,C
495,male,0,0,8.05,N,S
496,male,0,0,14.4583,N,C
497,female,1,0,78.2667,D,C
498,male,0,0,15.1,N,S
499,female,1,2,151.55,C,S
500,male,0,0,7.7958,N,S
501,male,0,0,8.6625,N,S
502,female,0,0,7.75,N,Q
503,female,0,0,7.6292,N,Q
504,female,0,0,9.5875,N,S
505,female,0,0,86.5,B,S
506,male,1,0,108.9,C,C
507,female,0,2,26,N,S
508,male,0,0,26.55,N,S
509,male,0,0,22.525,N,S
510,male,0,0,56.4958,N,S
511,male,0,0,7.75,N,Q
512,male,0,0,8.05,N,S
513,male,0,0,26.2875,E,S
514,female,1,0,59.4,N,C
515,male,0,0,7.4958,N,S
516,male,0,0,34.0208,D,S
517,female,0,0,10.5,F,S
518,male,0,0,24.15,N,Q
519,female,1,0,26,N,S
520,male,0,0,7.8958,N,S
521,female,0,0,93.5,B,S
522,male,0,0,7.8958,N,S
523,male,0,0,7.225,N,C
524,female,0,1,57.9792,B,C
525,male,0,0,7.2292,N,C
526,male,0,0,7.75,N,Q
527,female,0,0,10.5,N,S
528,male,0,0,221.7792,C,S
529,male,0,0,7.925,N,S
530,male,2,1,11.5,N,S
531,female,1,1,26,N,S
532,male,0,0,7.2292,N,C
533,male,1,1,7.2292,N,C
534,female,0,2,22.3583,N,C
535,female,0,0,8.6625,N,S
536,female,0,2,26.25,N,S
537,male,0,0,26.55,B,S
538,female,0,0,106.425,N,C
539,male,0,0,14.5,N,S
540,female,0,2,49.5,B,C
541,female,0,2,71,B,S
542,female,4,2,31.275,N,S
543,female,4,2,31.275,N,S
544,male,1,0,26,N,S
545,male,1,0,106.425,C,C
546,male,0,0,26,N,S
547,female,1,0,26,N,S
548,male,0,0,13.8625,N,C
549,male,1,1,20.525,N,S
550,male,1,1,36.75,N,S
551,male,0,2,110.8833,C,C
552,male,0,0,26,N,S
553,male,0,0,7.8292,N,Q
554,male,0,0,7.225,N,C
555,female,0,0,7.775,N,S
556,male,0,0,26.55,N,S
557,female,1,0,39.6,A,C
558,male,0,0,227.525,N,C
559,female,1,1,79.65,E,S
560,female,1,0,17.4,N,S
561,male,0,0,7.75,N,Q
562,male,0,0,7.8958,N,S
563,male,0,0,13.5,N,S
564,male,0,0,8.05,N,S
565,female,0,0,8.05,N,S
566,male,2,0,24.15,N,S
567,male,0,0,7.8958,N,S
568,female,0,4,21.075,N,S
569,male,0,0,7.2292,N,C
570,male,0,0,7.8542,N,S
571,male,0,0,10.5,N,S
572,female,2,0,51.4792,C,S
573,male,0,0,26.3875,E,S
574,female,0,0,7.75,N,Q
575,male,0,0,8.05,N,S
576,male,0,0,14.5,N,S
577,female,0,0,13,N,S
578,female,1,0,55.9,E,S
579,female,1,0,14.4583,N,C
580,male,0,0,7.925,N,S
581,female,1,1,30,N,S
582,female,1,1,110.8833,C,C
583,male,0,0,26,N,S
584,male,0,0,40.125,A,C
585,male,0,0,8.7125,N,C
586,female,0,2,79.65,E,S
587,male,0,0,15,N,S
588,male,1,1,79.2,B,C
589,male,0,0,8.05,N,S
590,male,0,0,8.05,N,S
591,male,0,0,7.125,N,S
592,female,1,0,78.2667,D,C
593,male,0,0,7.25,N,S
594,female,0,2,7.75,N,Q
595,male,1,0,26,N,S
596,male,1,1,24.15,N,S
597,female,0,0,33,N,S
598,male,0,0,0,N,S
599,male,0,0,7.225,N,C
600,male,1,0,56.9292,A,C
601,female,2,1,27,N,S
602,male,0,0,7.8958,N,S
603,male,0,0,42.4,N,S
604,male,0,0,8.05,N,S
605,male,0,0,26.55,N,C
606,male,1,0,15.55,N,S
607,male,0,0,7.8958,N,S
608,male,0,0,30.5,N,S
609,female,1,2,41.5792,N,C
610,female,0,0,153.4625,C,S
611,female,1,5,31.275,N,S
612,male,0,0,7.05,N,S
613,female,1,0,15.5,N,Q
614,male,0,0,7.75,N,Q
615,male,0,0,8.05,N,S
616,female,1,2,65,N,S
617,male,1,1,14.4,N,S
618,female,1,0,16.1,N,S
619,female,2,1,39,F,S
620,male,0,0,10.5,N,S
621,male,1,0,14.4542,N,C
622,male,1,0,52.5542,D,S
623,male,1,1,15.7417,N,C
624,male,0,0,7.8542,N,S
625,male,0,0,16.1,N,S
626,male,0,0,32.3208,D,S
627,male,0,0,12.35,N,Q
628,female,0,0,77.9583,D,S
629,male,0,0,7.8958,N,S
630,male,0,0,7.7333,N,Q
631,male,0,0,30,A,S
632,male,0,0,7.0542,N,S
633,male,0,0,30.5,B,C
634,male,0,0,0,N,S
635,female,3,2,27.9,N,S
636,female,0,0,13,N,S
637,male,0,0,7.925,N,S
638,male,1,1,26.25,N,S
639,female,0,5,39.6875,N,S
640,male,1,0,16.1,N,S
641,male,0,0,7.8542,N,S
642,female,0,0,69.3,B,C
643,female,3,2,27.9,N,S
644,male,0,0,56.4958,N,S
645,female,2,1,19.2583,N,C
646,male,1,0,76.7292,D,C
647,male,0,0,7.8958,N,S
648,male,0,0,35.5,A,C
649,male,0,0,7.55,N,S
650,female,0,0,7.55,N,S
651,male,0,0,7.8958,N,S
652,female,0,1,23,N,S
653,male,0,0,8.4333,N,S
654,female,0,0,7.8292,N,Q
655,female,0,0,6.75,N,Q
656,male,2,0,73.5,N,S
657,male,0,0,7.8958,N,S
658,female,1,1,15.5,N,Q
659,male,0,0,13,N,S
660,male,0,2,113.275,D,C
661,male,2,0,133.65,N,S
662,male,0,0,7.225,N,C
663,male,0,0,25.5875,E,S
664,male,0,0,7.4958,N,S
665,male,1,0,7.925,N,S
666,male,2,0,73.5,N,S
667,male,0,0,13,N,S
668,male,0,0,7.775,N,S
669,male,0,0,8.05,N,S
670,female,1,0,52,C,S
671,female,1,1,39,N,S
672,male,1,0,52,B,S
673,male,0,0,10.5,N,S
674,male,0,0,13,N,S
675,male,0,0,0,N,S
676,male,0,0,7.775,N,S
677,male,0,0,8.05,N,S
678,female,0,0,9.8417,N,S
679,female,1,6,46.9,N,S
680,male,0,1,512.3292,B,C
681,female,0,0,8.1375,N,Q
682,male,0,0,76.7292,D,C
683,male,0,0,9.225,N,S
684,male,5,2,46.9,N,S
685,male,1,1,39,N,S
686,male,1,2,41.5792,N,C
687,male,4,1,39.6875,N,S
688,male,0,0,10.1708,N,S
689,male,0,0,7.7958,N,S
690,female,0,1,211.3375,B,S
691,male,1,0,57,B,S
692,female,0,1,13.4167,N,C
693,male,0,0,56.4958,N,S
694,male,0,0,7.225,N,C
695,male,0,0,26.55,N,S
696,male,0,0,13.5,N,S
697,male,0,0,8.05,N,S
698,female,0,0,7.7333,N,Q
699,male,1,1,110.8833,C,C
700,male,0,0,7.65,F,S
701,female,1,0,227.525,C,C
702,male,0,0,26.2875,E,S
703,female,0,1,14.4542,N,C
704,male,0,0,7.7417,N,Q
705,male,1,0,7.8542,N,S
706,male,0,0,26,N,S
707,female,0,0,13.5,N,S
708,male,0,0,26.2875,E,S
709,female,0,0,151.55,N,S
710,male,1,1,15.2458,N,C
711,female,0,0,49.5042,C,C
712,male,0,0,26.55,C,S
713,male,1,0,52,C,S
714,male,0,0,9.4833,N,S
715,male,0,0,13,N,S
716,male,0,0,7.65,F,S
717,female,0,0,227.525,C,C
718,female,0,0,10.5,E,S
719,male,0,0,15.5,N,Q
720,male,0,0,7.775,N,S
721,female,0,1,33,N,S
722,male,1,0,7.0542,N,S
723,male,0,0,13,N,S
724,male,0,0,13,N,S
725,male,1,0,53.1,E,S
726,male,0,0,8.6625,N,S
727,female,3,0,21,N,S
728,female,0,0,7.7375,N,Q
729,male,1,0,26,N,S
730,female,1,0,7.925,N,S
731,female,0,0,211.3375,B,S
732,male,0,0,18.7875,N,C
733,male,0,0,0,N,S
734,male,0,0,13,N,S
735,male,0,0,13,N,S
736,male,0,0,16.1,N,S
737,female,1,3,34.375,N,S
738,male,0,0,512.3292,B,C
739,male,0,0,7.8958,N,S
740,male,0,0,7.8958,N,S
741,male,0,0,30,D,S
742,male,1,0,78.85,C,S
743,female,2,2,262.375,B,C
744,male,1,0,16.1,N,S
745,male,0,0,7.925,N,S
746,male,1,1,71,B,S
747,male,1,1,20.25,N,S
748,female,0,0,13,N,S
749,male,1,0,53.1,D,S
750,male,0,0,7.75,N,Q
751,female,1,1,23,N,S
752,male,0,1,12.475,E,S
753,male,0,0,9.5,N,S
754,male,0,0,7.8958,N,S
755,female,1,2,65,N,S
756,male,1,1,14.5,N,S
757,male,0,0,7.7958,N,S
758,male,0,0,11.5,N,S
759,male,0,0,8.05,N,S
760,female,0,0,86.5,B,S
761,male,0,0,14.5,N,S
762,male,0,0,7.125,N,S
763,male,0,0,7.2292,N,C
764,female,1,2,120,B,S
765,male,0,0,7.775,N,S
766,female,1,0,77.9583,D,S
767,male,0,0,39.6,N,C
768,female,0,0,7.75,N,Q
769,male,1,0,24.15,N,Q
770,male,0,0,8.3625,N,S
771,male,0,0,9.5,N,S
772,male,0,0,7.8542,N,S
773,female,0,0,10.5,E,S
774,male,0,0,7.225,N,C
775,female,1,3,23,N,S
776,male,0,0,7.75,N,S
777,male,0,0,7.75,F,Q
778,female,0,0,12.475,N,S
779,male,0,0,7.7375,N,Q
780,female,0,1,211.3375,B,S
781,female,0,0,7.2292,N,C
782,female,1,0,57,B,S
783,male,0,0,30,D,S
784,male,1,2,23.45,N,S
785,male,0,0,7.05,N,S
786,male,0,0,7.25,N,S
787,female,0,0,7.4958,N,S
788,male,4,1,29.125,N,Q
789,male,1,2,20.575,N,S
790,male,0,0,79.2,B,C
791,male,0,0,7.75,N,Q
792,male,0,0,26,N,S
793,female,8,2,69.55,N,S
794,male,0,0,30.6958,N,C
795,male,0,0,7.8958,N,S
796,male,0,0,13,N,S
797,female,0,0,25.9292,D,S
798,female,0,0,8.6833,N,S
799,male,0,0,7.2292,N,C
800,female,1,1,24.15,N,S
801,male,0,0,13,N,S
802,female,1,1,26.25,N,S
803,male,1,2,120,B,S
804,male,0,1,8.5167,N,C
805,male,0,0,6.975,N,S
806,male,0,0,7.775,N,S
807,male,0,0,0,A,S
808,female,0,0,7.775,N,S
809,male,0,0,13,N,S
810,female,1,0,53.1,E,S
811,male,0,0,7.8875,N,S
812,male,0,0,24.15,N,S
813,male,0,0,10.5,N,S
814,female,4,2,31.275,N,S
815,male,0,0,8.05,N,S
816,male,0,0,0,B,S
817,female,0,0,7.925,N,S
818,male,1,1,37.0042,N,C
819,male,0,0,6.45,N,S
820,male,3,2,27.9,N,S
821,female,1,1,93.5,B,S
822,male,0,0,8.6625,N,S
823,male,0,0,0,N,S
824,female,0,1,12.475,E,S
825,male,4,1,39.6875,N,S
826,male,0,0,6.95,N,Q
827,male,0,0,56.4958,N,S
828,male,0,2,37.0042,N,C
829,male,0,0,7.75,N,Q
830,female,0,0,80,B,S
831,female,1,0,14.4542,N,C
832,male,1,1,18.75,N,S
833,male,0,0,7.2292,N,C
834,male,0,0,7.8542,N,S
835,male,0,0,8.3,N,S
836,female,1,1,83.1583,E,C
837,male,0,0,8.6625,N,S
838,male,0,0,8.05,N,S
839,male,0,0,56.4958,N,S
840,male,0,0,29.7,C,C
841,male,0,0,7.925,N,S
842,male,0,0,10.5,N,S
843,female,0,0,31,N,C
844,male,0,0,6.4375,N,C
845,male,0,0,8.6625,N,S
846,male,0,0,7.55,N,S
847,male,8,2,69.55,N,S
848,male,0,0,7.8958,N,C
849,male,0,1,33,N,S
850,female,1,0,89.1042,C,C
851,male,4,2,31.275,N,S
852,male,0,0,7.775,N,S
853,female,1,1,15.2458,N,C
854,female,0,1,39.4,D,S
855,female,1,0,26,N,S
856,female,0,1,9.35,N,S
857,female,1,1,164.8667,N,S
858,male,0,0,26.55,E,S
859,female,0,3,19.2583,N,C
860,male,0,0,7.2292,N,C
861,male,2,0,14.1083,N,S
862,male,1,0,11.5,N,S
863,female,0,0,25.9292,D,S
864,female,8,2,69.55,N,S
865,male,0,0,13,N,S
866,female,0,0,13,N,S
867,female,1,0,13.8583,N,C
