id,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Online boarding,satisfaction
28319,5,5,5,2,5,4,0,0,1,1
103012,3,3,3,4,3,5,1,15,5,1
124114,4,2,5,5,4,5,4,0,5,1
107794,4,5,4,4,5,4,0,0,2,0
81983,3,5,3,1,4,1,0,0,1,0
53164,5,5,5,4,5,3,8,0,2,1
82042,2,3,3,1,3,5,0,0,2,0
72127,3,3,2,3,3,2,14,8,2,0
113046,3,4,4,4,5,4,0,1,4,1
1050,5,5,5,4,5,2,0,0,2,1
54886,4,4,3,4,1,4,1,0,2,0
125918,4,2,4,4,4,4,10,10,3,0
7467,4,4,4,3,4,5,51,48,5,1
78972,5,5,5,4,5,5,0,5,4,1
126625,5,5,5,3,5,4,0,0,5,1
114501,1,1,4,2,3,4,39,26,3,0
114813,4,2,4,5,5,4,4,0,2,0
32167,2,1,4,2,4,3,0,0,2,0
68001,4,4,4,4,4,3,0,0,4,1
117052,4,4,3,2,2,4,13,1,2,0
8661,5,5,5,4,5,4,0,0,4,1
57165,4,4,4,3,4,4,30,15,4,1
78610,5,4,4,4,4,4,4,0,5,1
51058,3,2,4,4,5,4,0,0,2,0
92027,5,5,5,5,5,4,0,0,4,1
115534,3,2,2,2,3,2,18,12,2,0
9261,3,3,1,1,4,4,0,0,4,1
61033,5,5,5,4,5,5,0,0,4,1
75930,2,5,1,1,2,3,64,49,3,0
112142,5,4,4,5,5,5,0,2,2,0
24518,4,4,5,5,5,2,0,37,1,0
112524,4,4,5,3,4,1,0,0,3,0
101639,4,2,5,4,5,1,1,1,5,1
85018,2,2,2,1,2,4,0,6,4,0
106922,4,5,3,4,4,2,20,5,4,1
32564,5,2,1,4,4,4,0,0,4,0
92242,3,5,3,4,5,3,0,0,2,0
73302,4,2,5,4,4,4,45,48,4,1
42267,2,3,2,3,3,3,0,0,4,0
121358,3,2,4,2,4,5,0,8,3,0
65655,3,4,4,4,5,1,0,0,4,1
88062,4,4,4,5,4,4,44,50,5,1
91330,1,2,2,4,2,4,17,3,4,1
22031,5,3,5,4,5,5,0,0,4,0
27921,4,4,5,3,5,5,0,0,3,0
51947,4,4,4,3,4,1,0,0,1,1
40017,3,1,3,1,4,3,0,0,2,0
76392,4,5,5,4,5,4,0,0,0,1
118486,3,4,4,4,4,2,31,19,5,1
6012,2,2,3,4,2,4,81,72,4,0
30183,5,5,5,1,5,1,0,0,3,1
41652,3,2,3,3,3,4,0,11,2,1
15138,4,3,1,5,2,4,35,34,4,1
123589,2,2,3,3,1,5,14,18,4,0
114534,2,1,3,1,3,3,0,0,3,0
93076,5,1,1,3,4,5,67,62,1,0
96963,5,2,4,3,4,3,22,27,3,1
85494,5,4,5,4,4,3,40,52,2,0
72989,5,5,1,5,4,4,0,0,5,1
42357,4,2,4,3,5,5,0,0,2,0
23040,4,1,3,3,3,3,0,0,3,0
65420,3,4,4,3,1,5,0,0,5,1
65045,1,1,4,2,1,4,3,0,3,0
37373,4,3,4,2,1,1,0,0,1,0
44405,2,5,2,1,4,5,0,23,4,0
16653,3,2,5,1,3,1,0,0,2,0
71655,5,4,5,3,5,4,0,0,2,0
77591,4,5,4,4,4,3,0,3,5,1
4585,4,4,4,4,4,1,30,13,3,0
108347,1,1,2,4,3,1,0,0,1,0
23400,5,2,3,2,4,5,91,82,2,0
31010,4,4,4,5,4,4,0,0,5,1
57513,3,3,4,4,4,1,1,10,2,0
20979,1,1,2,2,2,3,0,0,2,0
95841,2,2,2,5,2,5,0,0,5,1
114684,5,4,4,4,4,3,21,23,4,0
111667,4,4,4,4,4,4,4,0,3,0
20101,3,5,2,3,3,1,0,9,3,0
63212,1,3,2,3,2,4,3,0,4,0
8256,4,2,4,5,5,3,0,0,1,0
56161,4,4,4,3,4,5,4,9,5,1
121196,3,5,4,1,4,1,7,30,1,0
23788,4,4,4,5,4,3,0,0,4,1
129579,4,4,4,3,4,5,17,8,5,1
127516,2,1,2,2,2,4,14,16,3,0
18012,4,5,4,5,5,3,0,0,3,0
45561,2,2,4,2,1,4,0,0,4,1
5228,4,5,4,4,5,2,4,11,4,1
18311,3,2,5,4,5,3,15,3,4,0
59891,3,3,3,1,3,3,0,0,2,0
60651,2,2,2,3,4,3,0,0,3,0
51013,1,2,1,2,1,5,0,0,3,0
91746,5,2,5,3,5,5,0,0,5,1
4233,5,5,5,3,5,5,0,0,4,1
14187,4,2,2,2,2,3,0,0,3,0
19669,1,1,1,1,1,1,0,0,3,0
31147,4,1,1,3,5,4,0,0,4,1
128842,3,3,4,1,3,1,29,10,1,1
27562,3,4,4,5,4,1,0,0,4,0
775,3,3,3,3,3,4,0,0,3,0
14070,1,5,1,3,1,3,0,0,3,0
106007,2,1,3,1,3,5,39,6,3,0
116004,2,4,3,4,4,5,7,6,3,0
68886,5,5,5,5,5,3,1,7,5,1
72413,3,4,3,3,3,4,0,7,4,1
73604,4,1,1,4,4,3,0,0,5,1
48415,3,5,3,3,3,4,0,0,4,0
105708,2,2,2,5,2,3,0,10,4,1
65579,1,1,1,1,1,4,13,15,3,0
73058,4,4,4,4,4,5,0,0,1,0
65585,2,4,2,1,1,2,0,0,2,0
8346,5,5,5,4,5,3,0,0,4,1
79678,3,4,4,4,4,1,17,27,4,0
112483,5,2,5,4,4,4,105,122,1,0
31698,4,4,4,2,4,5,0,0,4,0
74030,3,4,3,5,3,1,0,0,5,1
124931,3,2,3,3,3,2,0,3,3,0
73924,3,5,4,4,3,4,0,0,4,1
76073,3,4,3,4,3,3,27,11,5,1
104623,4,3,5,3,5,2,0,0,0,1
58523,4,2,4,4,4,3,19,0,5,0
121929,5,5,5,3,5,4,0,0,4,1
30704,1,4,5,1,3,5,12,27,5,1
58896,4,3,3,2,4,5,51,30,2,0
26920,1,4,2,2,2,3,0,2,2,0
13884,1,1,4,5,4,5,162,179,5,1
87681,5,1,2,5,3,5,15,15,5,1
81719,4,4,4,4,4,3,7,0,4,1
85554,4,4,4,4,4,5,0,0,4,1
12645,4,4,4,3,4,3,0,1,4,0
101275,4,4,4,5,4,5,24,20,4,1
95982,3,2,4,5,4,3,0,0,3,1
74610,2,4,3,2,3,3,0,0,3,0
76449,4,4,4,5,4,4,0,0,4,1
14030,4,5,4,4,3,3,0,7,4,0
69692,4,5,4,4,3,4,141,125,4,1
47648,4,3,4,2,4,4,0,0,4,0
52168,5,5,5,3,5,4,0,0,1,1
60251,1,1,1,4,1,3,1,26,3,0
35881,4,3,1,3,4,4,0,0,3,0
28852,4,4,4,5,4,2,0,0,5,1
55341,4,2,4,5,5,1,0,9,4,0
84553,5,1,5,1,5,2,0,0,3,0
100249,4,4,4,3,4,4,6,0,4,1
2463,2,5,4,4,4,3,15,26,3,0
22924,1,3,5,3,2,1,0,0,2,0
25542,5,3,4,5,4,1,3,0,3,1
115972,3,5,5,3,4,2,34,19,1,0
2980,3,4,2,2,1,2,0,0,2,0
125097,2,5,3,4,4,1,0,0,1,0
46701,3,3,3,4,3,2,6,4,3,0
108006,4,2,4,3,5,2,0,0,5,1
19578,5,5,4,4,4,2,0,0,0,0
59508,4,4,4,3,4,5,0,0,5,1
56446,3,2,3,3,3,3,0,17,5,0
48800,2,2,3,4,2,2,0,0,3,0
129592,4,5,2,5,5,1,0,18,2,0
114039,5,5,5,3,5,4,17,0,5,1
66800,5,5,5,5,5,3,0,0,4,1
106799,3,2,3,2,3,2,20,17,2,0
47057,1,3,1,3,3,5,0,3,5,1
61824,5,2,4,3,5,2,2,0,2,0
68207,3,5,4,3,4,2,0,8,1,0
125512,4,5,5,4,5,4,0,0,2,0
93019,5,5,5,2,5,3,1,0,1,1
87296,1,2,1,4,1,3,23,2,4,0
76748,3,3,4,4,3,3,7,2,3,0
85879,4,4,4,4,4,4,0,0,4,1
63961,1,4,2,3,1,1,0,0,3,0
94760,2,3,2,4,2,4,0,0,3,0
49608,5,2,4,1,1,5,31,,5,1
80520,1,1,4,2,3,3,97,89,1,0
23328,4,4,4,4,4,1,0,0,1,1
13560,4,3,5,4,5,2,16,34,1,0
119121,3,3,3,4,3,1,0,0,1,0
42917,5,5,2,4,3,4,0,0,5,1
52954,4,3,4,3,1,4,20,4,2,0
83112,4,4,4,3,5,3,0,0,2,0
88574,3,4,3,3,1,5,4,0,2,0
111570,4,4,4,3,4,4,0,0,4,1
28662,4,4,5,4,4,1,0,0,2,0
27177,5,3,3,2,3,2,0,0,3,0
129585,4,4,4,5,4,3,10,0,5,1
35759,5,2,5,3,5,2,0,0,3,0
49475,2,2,3,1,2,2,0,0,4,0
78904,3,5,5,4,4,3,11,6,2,0
29619,1,5,1,3,2,3,0,0,1,0
77512,5,5,5,4,5,4,0,0,5,1
31631,2,3,1,1,2,5,9,5,5,1
38913,4,4,4,1,4,2,0,0,4,1
35366,2,2,2,4,2,3,0,9,3,0
111817,5,4,4,5,5,4,29,28,3,0
12259,4,4,4,2,4,1,0,0,2,1
19790,3,3,3,4,3,3,99,101,4,0
33260,4,2,4,5,5,1,9,11,3,0
107079,3,5,3,1,3,1,0,0,4,0
15174,3,5,5,3,2,4,18,4,5,1
23620,2,2,3,3,3,3,0,0,3,0
18128,2,5,4,3,3,5,9,0,5,1
105291,4,2,4,3,3,4,0,3,4,0
56451,2,2,3,1,5,1,24,14,3,0
102068,4,1,4,5,4,3,37,20,5,0
57995,5,5,5,4,5,5,0,0,5,1
146,4,4,4,3,4,3,66,61,4,1
18770,3,4,3,4,4,3,53,48,3,0
42774,2,4,2,3,4,4,19,6,4,1
13776,2,5,5,1,4,5,4,3,2,0
103702,3,2,4,4,3,1,0,0,2,0
69826,3,5,4,2,4,4,0,0,3,0
57906,2,3,3,1,3,4,0,0,4,0
31358,5,5,5,5,5,5,0,11,1,1
92805,4,4,4,4,4,3,0,0,4,1
104375,2,2,2,4,2,1,0,0,3,0
109896,1,4,4,1,4,4,7,0,2,0
102955,5,2,4,4,4,1,0,0,3,0
44736,3,2,3,4,3,3,28,18,3,0
28135,4,4,3,5,5,4,0,0,4,1
55871,3,4,4,5,4,5,36,28,5,1
8818,5,4,5,4,5,5,0,0,5,0
86148,4,5,5,5,5,4,12,0,3,0
120162,4,4,4,3,4,3,13,32,5,0
117547,5,5,5,4,5,4,1,0,5,1
112385,1,2,3,1,3,4,23,6,4,0
19908,2,2,2,1,2,4,0,0,4,0
45098,5,5,3,3,5,3,6,6,2,1
43810,4,2,5,4,4,4,0,13,5,1
22981,5,4,5,3,5,1,0,16,5,1
68134,3,3,3,5,3,3,0,0,5,1
23518,2,2,2,5,2,3,0,0,3,0
109188,3,3,3,2,3,2,15,15,2,0
1150,5,5,4,3,5,5,0,0,3,0
44586,4,5,3,4,3,5,45,33,4,0
84299,3,3,3,5,3,5,39,41,5,1
103793,5,5,4,5,5,5,7,0,4,1
35032,5,5,5,3,5,1,0,0,3,1
103291,3,5,5,4,5,4,209,191,4,1
93909,5,5,5,4,5,4,0,2,4,1
127925,4,4,4,3,4,2,60,37,4,0
128097,1,3,2,3,3,3,0,1,3,0
26149,5,4,1,3,4,3,149,138,3,0
95886,5,3,5,3,4,4,26,13,2,0
125425,1,1,1,4,1,2,12,4,3,0
120078,2,4,3,3,3,2,0,53,2,0
60625,4,2,1,5,5,3,24,14,2,0
115031,4,4,5,3,4,4,11,0,5,1
37077,1,1,1,4,1,4,18,7,4,0
69252,3,4,3,3,4,4,15,22,4,0
12194,1,2,4,4,3,2,5,0,2,0
80188,4,4,3,4,1,4,59,57,4,0
10430,3,4,4,4,4,4,0,7,4,1
21262,4,5,3,1,4,1,35,28,4,0
55236,4,4,4,5,4,5,1,0,4,1
126917,5,5,5,5,5,3,62,65,5,1
112190,4,4,4,3,4,3,23,4,4,1
16342,3,4,4,4,4,2,21,44,2,0
2201,3,4,5,5,4,4,0,0,4,1
53687,2,1,2,2,3,4,3,0,4,1
47168,4,3,4,3,4,5,10,0,3,1
8782,4,4,4,4,4,3,8,0,5,1
75468,4,2,3,1,4,5,0,0,3,0
663,4,4,4,5,4,5,0,0,5,1
74740,1,3,1,2,1,5,91,76,5,0
117904,1,5,3,1,3,2,113,107,2,0
59599,2,4,3,3,4,2,27,12,3,0
29479,3,5,4,1,2,4,0,0,4,1
105096,3,4,5,3,4,4,28,11,4,1
94421,5,3,5,3,4,2,38,28,2,1
49058,2,4,5,5,2,4,0,0,1,0
47795,4,4,4,4,4,3,83,92,5,1
125451,4,4,4,5,3,5,15,32,5,1
96114,5,5,5,4,5,3,0,0,4,1
23241,5,5,4,5,4,2,0,0,2,0
106258,4,3,4,3,5,5,0,0,4,1
64874,4,5,4,3,3,1,0,0,3,0
100136,4,4,4,4,5,4,0,0,4,1
51774,3,1,3,3,4,1,0,0,0,0
124301,5,4,5,3,4,2,0,0,5,1
36127,3,3,3,1,3,3,0,8,4,0
121855,5,5,5,4,5,3,4,2,5,1
52648,4,5,3,2,3,5,0,0,2,0
38803,4,1,3,1,4,1,16,12,2,0
39916,3,2,4,5,5,5,0,0,5,1
95301,1,5,4,4,4,2,15,7,2,0
16505,3,3,5,5,4,5,8,16,2,0
63771,4,4,4,4,4,5,18,0,4,1
51960,3,5,4,5,3,5,0,0,3,0
111305,4,5,3,4,3,2,0,0,2,0
114340,4,3,4,3,5,4,0,0,2,0
17379,5,5,5,2,5,3,0,0,5,1
65992,3,2,3,4,5,1,0,0,3,0
104578,5,2,4,4,4,1,0,0,5,1
7443,3,2,2,3,5,3,0,11,4,0
67768,2,3,4,3,3,1,0,13,1,0
89581,4,1,4,3,3,5,0,1,4,0
47417,2,2,2,1,2,4,0,0,4,0
30231,2,2,2,5,2,1,12,8,2,1
14343,5,3,4,4,4,3,0,0,4,0
79924,5,3,3,4,2,4,176,164,4,0
105654,1,3,3,4,2,5,38,28,1,0
29495,1,5,3,2,4,1,0,0,3,0
98183,5,4,5,3,4,5,0,0,2,0
87554,3,2,2,4,3,5,0,0,4,0
83683,4,2,4,2,1,5,0,0,1,1
74603,2,2,2,1,2,4,0,0,4,0
83191,5,5,5,5,5,3,0,5,5,1
110103,5,5,5,4,5,4,19,5,5,1
57026,3,3,3,3,3,5,46,24,3,1
91205,4,1,4,1,4,4,0,0,3,0
55470,5,4,5,3,5,3,13,0,3,1
53922,4,1,4,2,3,4,39,34,1,0
129138,5,5,5,3,5,4,0,6,5,1
2034,2,2,2,5,2,4,0,3,4,1
37286,3,2,4,5,2,5,20,9,5,1
32818,2,2,3,2,4,2,0,0,2,0
46695,1,2,1,2,1,1,0,32,3,0
121598,5,4,5,5,5,4,22,22,4,1
44039,2,2,2,2,2,5,0,8,0,0
102733,1,4,4,1,3,3,0,0,3,0
85600,5,1,2,4,3,5,9,5,0,1
10833,5,3,4,4,4,4,7,2,4,1
81553,3,3,3,5,3,5,0,0,5,1
24745,4,3,3,1,4,4,0,5,4,1
58871,4,4,4,3,4,4,0,0,4,1
68900,4,4,5,5,5,5,0,0,0,1
31952,5,5,5,5,5,4,0,0,5,1
98758,5,5,5,5,5,4,0,0,5,1
59963,4,4,4,4,4,3,0,6,4,1
38236,3,4,3,3,3,5,0,0,5,1
43811,5,5,4,5,5,5,0,0,4,1
58215,2,5,3,1,4,4,0,5,2,0
88293,4,4,4,3,4,3,1,0,4,1
37225,4,4,4,5,4,4,22,21,4,1
43935,5,1,5,3,5,5,0,0,5,1
48899,2,5,5,5,3,4,0,0,4,1
99082,1,2,2,4,2,2,5,7,2,0
75859,3,3,4,4,4,5,0,0,0,0
85109,5,5,5,5,5,4,0,0,4,1
118135,2,2,2,4,2,2,73,62,3,0
89169,4,4,4,4,3,1,0,0,1,0
4988,4,3,4,4,4,5,53,52,2,0
81441,4,4,4,5,4,3,0,0,4,1
37707,1,4,4,1,4,1,20,15,2,0
94317,3,2,5,4,5,4,0,0,4,1
42242,4,4,4,4,4,3,0,0,1,1
8085,4,4,4,5,4,3,0,4,5,1
42926,4,4,4,5,4,4,0,0,5,1
114663,4,4,4,3,4,5,54,40,4,1
63597,5,2,5,3,4,4,0,0,4,1
78220,3,1,4,1,2,4,0,0,2,0
2902,3,2,2,5,1,5,22,49,1,0
71673,2,4,4,3,3,2,0,3,2,0
128042,5,3,3,5,5,4,0,7,1,0
53847,3,3,2,2,3,2,0,0,3,0
42369,3,5,5,4,5,2,0,0,2,0
110474,3,1,3,3,3,3,1,4,2,0
17284,4,2,5,1,5,5,0,0,5,1
69457,5,4,4,3,1,1,1,0,2,0
83974,5,5,5,5,5,3,0,0,5,1
107761,3,5,4,3,5,4,3,0,3,0
37834,5,2,1,3,2,5,18,55,5,1
25904,4,4,4,2,4,5,0,1,5,1
73190,2,3,3,2,1,2,199,185,2,0
70160,4,2,4,4,5,1,56,63,2,0
126642,2,2,2,5,2,4,0,0,5,1
76228,2,2,2,1,2,4,3,0,3,0
18983,5,5,5,4,5,3,93,77,3,1
42803,4,5,5,5,5,4,0,0,3,1
65527,3,2,4,4,5,1,70,89,3,0
5441,5,5,5,5,5,5,0,23,4,1
18473,4,4,4,5,4,5,0,0,1,1
98337,5,5,5,3,5,3,3,0,1,0
68782,3,5,5,5,4,3,0,0,2,1
98247,4,4,4,4,4,4,80,86,4,1
67119,1,1,1,1,1,4,12,5,2,0
91319,4,4,5,3,5,5,0,2,3,0
111275,4,4,4,1,4,3,0,5,3,0
60787,5,2,5,3,5,1,0,0,1,0
65894,4,2,4,5,4,3,96,91,0,1
67702,4,3,4,5,4,3,0,0,4,1
55982,5,5,5,4,5,5,0,0,3,1
38230,3,3,3,3,3,1,0,0,4,0
48253,4,3,4,1,4,5,57,52,2,0
89431,2,4,3,4,3,3,0,0,2,0
117314,2,4,3,3,2,2,0,0,3,0
14155,4,5,2,1,3,4,0,0,4,1
123078,5,5,5,3,5,5,0,0,5,1
50137,2,2,4,1,2,2,95,100,3,0
41799,4,4,4,1,4,1,0,0,4,1
47037,4,4,2,3,3,5,0,0,5,1
115397,4,4,2,4,3,5,11,6,3,0
35221,5,3,3,3,1,2,0,0,2,1
52892,5,4,1,1,2,1,27,54,2,0
90041,2,2,2,3,2,4,7,0,5,1
26751,3,1,3,2,3,4,3,24,4,0
66071,2,2,2,5,2,3,29,17,4,0
33552,5,1,3,2,1,5,0,0,1,0
107354,3,2,4,4,4,3,44,40,3,0
83598,5,5,5,3,5,5,35,36,5,1
117725,4,4,4,3,4,4,15,1,5,1
34210,4,2,4,4,4,5,6,24,3,0
129245,3,3,3,3,3,4,60,70,3,0
16810,1,2,4,3,3,3,141,139,3,0
88356,4,3,3,2,3,3,44,33,3,0
3875,2,2,1,4,2,2,44,92,2,0
4749,4,4,4,2,4,4,0,0,1,1
9559,4,5,4,4,4,4,0,0,5,1
112110,3,2,4,4,5,5,16,14,4,0
114915,5,5,5,5,5,5,0,0,5,1
66011,3,3,4,3,5,4,74,67,4,1
60450,5,5,5,3,5,3,1,0,5,1
129469,4,3,5,3,4,2,0,7,2,0
62153,5,5,5,5,5,3,0,0,5,1
39499,3,2,5,4,4,4,0,0,4,1
19091,2,4,2,3,2,3,0,0,4,0
48260,3,4,5,3,5,5,0,4,3,0
96830,4,4,4,5,4,5,172,163,5,1
126561,4,3,4,1,4,3,0,8,3,0
69098,5,5,5,4,5,5,0,0,5,1
89178,4,2,3,5,4,1,0,0,2,0
48501,1,1,3,1,3,2,16,6,2,0
109465,3,5,5,3,5,4,0,0,4,1
62274,4,2,5,4,5,3,0,0,3,0
98908,4,4,4,5,4,3,0,0,5,1
17357,0,1,2,2,0,3,0,0,4,0
115331,4,4,4,4,4,3,0,0,5,1
65150,5,0,5,3,5,3,0,0,4,1
42257,3,5,3,4,3,2,0,0,2,0
116136,3,4,4,2,4,1,0,0,4,0
36244,5,5,5,1,5,3,0,0,3,1
109049,2,2,2,3,2,4,63,52,2,0
111496,4,4,4,3,4,3,0,0,5,1
8105,2,2,2,2,2,2,19,21,2,0
19478,5,5,3,4,5,5,91,128,1,1
79579,3,3,3,3,3,3,6,0,4,1
26935,3,2,5,4,5,4,4,0,5,1
81010,3,3,3,4,3,5,0,21,4,1
32348,4,5,3,4,4,3,0,3,2,1
122747,4,2,5,4,3,2,0,0,1,0
88118,4,4,4,4,4,4,9,4,4,1
5622,2,5,2,4,5,4,175,180,4,1
97335,4,5,4,4,4,3,16,3,5,1
72995,2,5,2,3,2,2,24,1,3,0
21707,2,3,2,4,2,3,27,37,5,0
120201,2,2,2,4,2,3,7,23,4,0
42929,5,5,5,3,5,3,23,13,5,1
117511,4,4,4,5,5,1,11,5,3,0
125569,3,4,4,4,5,2,0,0,1,0
128566,4,2,4,5,4,5,0,0,3,0
16040,1,1,3,3,4,2,16,0,2,1
27289,5,5,5,5,5,1,3,0,5,1
61198,4,4,4,3,4,1,0,0,2,0
120723,4,4,4,4,4,3,0,0,4,1
73793,3,5,4,2,4,2,105,93,2,0
36093,5,1,2,5,1,1,0,0,3,0
66777,3,2,4,4,3,2,0,0,2,0
91068,5,3,3,4,5,3,0,0,3,0
120574,2,2,2,1,2,3,0,0,4,0
30294,2,3,4,4,5,5,0,8,5,1
99081,4,4,4,4,4,5,2,0,4,1
12094,5,2,3,4,2,4,143,121,4,0
11849,4,4,2,5,4,5,48,30,5,0
2671,5,4,5,4,4,2,0,6,4,0
55140,3,5,5,3,4,4,0,4,1,0
75362,1,2,4,4,4,4,0,33,4,0
5763,3,5,4,3,4,2,37,52,3,0
12659,5,1,5,5,5,5,0,9,3,0
21207,4,2,3,1,3,1,0,0,3,0
45421,4,4,4,5,4,3,27,17,1,1
51952,5,1,1,4,2,4,0,7,4,1
80873,4,3,4,5,4,3,0,0,5,0
119054,5,3,5,3,5,3,0,0,1,0
128651,4,5,4,1,3,1,1,2,1,1
65790,4,5,5,3,4,2,3,0,5,1
71834,1,1,1,2,1,4,0,0,2,0
94138,4,4,5,4,4,5,4,2,4,1
5255,4,2,3,1,2,3,0,3,1,0
115771,1,1,1,1,1,2,19,6,4,0
73967,2,3,4,3,3,4,31,22,3,0
32801,3,2,4,2,3,2,0,0,2,0
36503,4,4,4,3,4,5,5,0,1,1
63315,4,4,3,4,3,4,12,17,4,0
51581,4,4,4,3,4,3,0,0,5,1
77979,4,4,4,4,4,3,1,0,4,1
117451,1,1,3,1,3,3,16,9,1,0
58912,4,4,4,5,4,1,1,0,2,0
11244,4,3,2,4,4,5,0,0,4,0
122058,3,1,3,1,3,2,8,26,2,0
6133,3,3,3,5,3,3,0,0,5,1
63668,3,5,3,2,3,2,10,0,3,1
73903,2,5,4,3,4,3,0,0,3,0
104087,1,4,1,5,1,5,2,0,5,0
9170,4,5,4,3,4,3,0,0,5,1
105685,5,5,5,4,5,4,2,0,5,1
115282,4,3,4,3,4,3,47,45,4,0
16311,2,1,5,3,5,5,45,51,4,1
77671,4,1,4,3,3,3,105,105,2,0
19381,3,2,1,4,3,5,101,126,5,1
94026,3,4,5,4,5,4,1,0,4,1
122163,4,4,4,4,4,5,0,0,5,1
7179,5,4,5,5,5,4,9,56,5,1
20625,4,1,1,4,5,5,0,0,5,1
124273,5,3,4,4,5,3,0,0,5,1
1600,4,2,3,1,4,4,27,31,3,0
23359,4,3,2,4,4,4,118,100,4,1
80613,5,5,5,3,5,5,0,0,4,1
45303,3,3,3,3,3,1,0,0,1,1
21580,5,3,5,3,5,3,0,0,2,0
65318,2,2,2,3,2,5,18,18,5,1
52768,5,3,3,2,3,3,0,5,3,0
49507,1,1,1,4,5,5,5,0,3,0
121964,4,3,4,3,5,1,15,8,4,0
63942,4,0,4,4,4,3,0,0,5,0
81471,4,3,4,4,4,3,27,45,3,0
54997,2,2,2,3,2,5,26,27,3,1
59017,2,2,2,4,2,4,0,4,3,1
112287,5,2,1,4,5,4,45,40,4,0
97003,4,4,3,3,1,1,28,19,3,0
102913,4,4,4,3,4,3,0,0,5,1
21546,3,2,5,5,4,5,76,73,2,0
121044,4,3,5,4,4,5,0,10,2,0
126814,5,5,5,3,5,3,0,0,3,1
1936,5,5,5,4,5,5,0,0,5,1
17630,5,5,5,3,5,3,0,0,2,1
82979,4,4,4,5,4,4,0,0,5,1
9557,4,5,4,5,4,3,0,0,5,1
76350,4,4,4,5,4,4,0,0,5,1
94609,5,5,4,4,5,5,0,1,5,1
86573,3,3,3,3,4,3,0,0,2,0
38421,4,3,1,5,4,3,4,11,3,0
12479,3,2,4,5,4,2,3,4,2,0
108382,3,1,3,2,4,1,18,24,4,0
99249,4,4,4,3,4,1,4,0,2,0
128013,5,5,5,5,5,3,0,0,4,1
3468,5,2,5,5,5,5,0,6,5,0
71012,5,5,5,4,5,3,0,0,4,1
116293,3,1,4,3,2,1,13,5,3,0
103164,4,2,3,3,4,5,22,11,4,0
29908,5,5,5,3,5,5,0,0,2,1
37280,5,5,5,1,5,2,0,0,2,1
90266,5,5,5,4,3,4,220,212,4,1
63145,4,5,4,5,4,3,0,0,4,1
113897,1,1,1,1,1,2,18,14,1,0
80519,3,1,5,1,5,5,0,3,3,0
107210,4,5,5,4,4,5,0,0,2,0
48034,1,4,3,4,2,4,141,126,1,0
49907,5,2,3,3,4,3,1,0,0,1
15360,5,5,5,5,5,4,0,0,4,1
107856,5,5,5,4,5,5,9,0,5,1
96716,2,3,3,3,3,2,0,0,1,0
57625,5,3,5,4,4,2,0,8,1,0
87442,5,5,5,4,5,3,33,27,5,1
115872,2,1,2,5,5,5,0,0,5,1
37667,3,4,3,5,3,2,0,0,4,0
102881,4,1,3,5,3,3,18,18,3,0
107099,3,4,1,4,3,5,0,0,2,0
55791,5,2,4,4,2,4,0,3,4,0
4388,3,4,4,3,5,3,55,88,3,0
44731,2,1,1,4,4,4,0,4,4,1
102620,3,3,4,3,4,2,11,4,3,0
