,x0,x1,x2,x3,x4,x5,x6
118,119,1,0,1,247.5208,,1.0
119,120,0,4,2,31.275,0.0,0.0
120,121,1,2,0,73.5,0.0,0.0
121,122,1,0,0,8.05,0.0,0.0
122,123,1,1,0,30.0708,0.0,1.0
123,124,0,0,0,13.0,,0.0
124,125,1,0,1,77.2875,,0.0
125,126,1,1,0,11.2417,0.0,1.0
126,127,1,0,0,7.75,0.0,
127,128,1,0,0,7.1417,0.0,0.0
128,129,0,1,1,22.3583,,1.0
129,130,1,0,0,6.975,0.0,0.0
130,131,1,0,0,7.8958,0.0,1.0
131,132,1,0,0,7.05,0.0,0.0
132,133,0,1,0,14.5,0.0,0.0
133,134,0,1,0,26.0,0.0,0.0
134,135,1,0,0,13.0,0.0,0.0
135,136,1,0,0,15.0458,0.0,1.0
136,137,0,0,2,26.2833,,0.0
137,138,1,1,0,53.1,1.0,0.0
138,139,1,0,0,9.2167,0.0,0.0
139,140,1,0,0,79.2,,1.0
140,141,0,0,2,15.2458,0.0,1.0
141,142,0,0,0,7.75,0.0,0.0
142,143,0,1,0,15.85,0.0,0.0
143,144,1,0,0,6.75,0.0,
144,145,1,0,0,11.5,0.0,0.0
145,146,1,1,1,36.75,0.0,0.0
146,147,1,0,0,7.7958,0.0,0.0
147,148,0,2,2,34.375,0.0,0.0
148,149,1,0,2,26.0,,0.0
149,150,1,0,0,13.0,0.0,0.0
150,151,1,0,0,12.525,0.0,0.0
151,152,0,1,0,66.6,1.0,0.0
152,153,1,0,0,8.05,0.0,0.0
153,154,1,0,2,14.5,0.0,0.0
154,155,1,0,0,7.3125,0.0,0.0
155,156,1,0,1,61.3792,0.0,1.0
156,157,0,0,0,7.7333,0.0,
157,158,1,0,0,8.05,0.0,0.0
158,159,1,0,0,8.6625,0.0,0.0
159,160,1,8,2,69.55,0.0,0.0
160,161,1,0,1,16.1,0.0,0.0
161,162,0,0,0,15.75,0.0,0.0
162,163,1,0,0,7.775,0.0,0.0
163,164,1,0,0,8.6625,0.0,0.0
164,165,1,4,1,39.6875,0.0,0.0
165,166,1,0,2,20.525,0.0,0.0
166,167,0,0,1,55.0,,0.0
167,168,0,1,4,27.9,0.0,0.0
168,169,1,0,0,25.925,0.0,0.0
169,170,1,0,0,56.4958,0.0,0.0
170,171,1,0,0,33.5,,0.0
171,172,1,4,1,29.125,0.0,
172,173,0,1,1,11.1333,0.0,0.0
173,174,1,0,0,7.925,0.0,0.0
174,175,1,0,0,30.6958,,1.0
175,176,1,1,1,7.8542,0.0,0.0
176,177,1,3,1,25.4667,0.0,0.0
177,178,0,0,0,28.7125,1.0,1.0
178,179,1,0,0,13.0,0.0,0.0
179,180,1,0,0,0.0,0.0,0.0
180,181,0,8,2,69.55,0.0,0.0
181,182,1,0,0,15.05,0.0,1.0
182,183,1,4,2,31.3875,0.0,0.0
183,184,1,2,1,39.0,,0.0
184,185,0,0,2,22.025,0.0,0.0
185,186,1,0,0,50.0,,0.0
186,187,0,1,0,15.5,0.0,
187,188,1,0,0,26.55,0.0,0.0
188,189,1,1,1,15.5,0.0,
189,190,1,0,0,7.8958,0.0,0.0
190,191,0,0,0,13.0,0.0,0.0
191,192,1,0,0,13.0,0.0,0.0
192,193,0,1,0,7.8542,0.0,0.0
193,194,1,1,1,26.0,,0.0
194,195,0,0,0,27.7208,,1.0
195,196,0,0,0,146.5208,,1.0
196,197,1,0,0,7.75,0.0,
197,198,1,0,1,8.4042,0.0,0.0
198,199,0,0,0,7.75,0.0,
199,200,0,0,0,13.0,0.0,0.0
200,201,1,0,0,9.5,0.0,0.0
201,202,1,8,2,69.55,0.0,0.0
202,203,1,0,0,6.4958,0.0,0.0
203,204,1,0,0,7.225,0.0,1.0
204,205,1,0,0,8.05,0.0,0.0
205,206,0,0,1,10.4625,,0.0
206,207,1,1,0,15.85,0.0,0.0
207,208,1,0,0,18.7875,0.0,1.0
208,209,0,0,0,7.75,0.0,
209,210,1,0,0,31.0,,1.0
210,211,1,0,0,7.05,0.0,0.0
211,212,0,0,0,21.0,0.0,0.0
212,213,1,0,0,7.25,0.0,0.0
213,214,1,0,0,13.0,0.0,0.0
214,215,1,1,0,7.75,0.0,
215,216,0,1,0,113.275,,1.0
216,217,0,0,0,7.925,0.0,0.0
217,218,1,1,0,27.0,0.0,0.0
218,219,0,0,0,76.2917,,1.0
219,220,1,0,0,10.5,0.0,0.0
220,221,1,0,0,8.05,0.0,0.0
221,222,1,0,0,13.0,0.0,0.0
222,223,1,0,0,8.05,0.0,0.0
223,224,1,0,0,7.8958,0.0,0.0
224,225,1,1,0,90.0,1.0,0.0
225,226,1,0,0,9.35,0.0,0.0
226,227,1,0,0,10.5,0.0,0.0
227,228,1,0,0,7.25,0.0,0.0
228,229,1,0,0,13.0,0.0,0.0
229,230,0,3,1,25.4667,0.0,0.0
230,231,0,1,0,83.475,1.0,0.0
231,232,1,0,0,7.775,0.0,0.0
232,233,1,0,0,13.5,0.0,0.0
233,234,0,4,2,31.3875,0.0,0.0
234,235,1,0,0,10.5,0.0,0.0
235,236,0,0,0,7.55,0.0,0.0
236,237,1,1,0,26.0,0.0,0.0
237,238,0,0,2,26.25,0.0,0.0
238,239,1,0,0,10.5,0.0,0.0
239,240,1,0,0,12.275,0.0,0.0
240,241,0,1,0,14.4542,0.0,1.0
241,242,0,1,0,15.5,0.0,
242,243,1,0,0,10.5,0.0,0.0
243,244,1,0,0,7.125,0.0,0.0
244,245,1,0,0,7.225,0.0,1.0
245,246,1,2,0,90.0,1.0,
246,247,0,0,0,7.775,0.0,0.0
247,248,0,0,2,14.5,0.0,0.0
248,249,1,1,1,52.5542,,0.0
249,250,1,1,0,26.0,0.0,0.0
250,251,1,0,0,7.25,0.0,0.0
251,252,0,1,1,10.4625,,0.0
252,253,1,0,0,26.55,1.0,0.0
253,254,1,1,0,16.1,0.0,0.0
254,255,0,0,2,20.2125,0.0,0.0
255,256,0,0,2,15.2458,0.0,1.0
256,257,0,0,0,79.2,0.0,1.0
257,258,0,0,0,86.5,,0.0
258,259,0,0,0,512.3292,0.0,1.0
259,260,0,0,1,26.0,0.0,0.0
260,261,1,0,0,7.75,0.0,
261,262,1,4,2,31.3875,0.0,0.0
262,263,1,1,1,79.65,,0.0
263,264,1,0,0,0.0,,0.0
264,265,0,0,0,7.75,0.0,
265,266,1,0,0,10.5,0.0,0.0
266,267,1,4,1,39.6875,0.0,0.0
267,268,1,1,0,7.775,0.0,0.0
268,269,0,0,1,153.4625,1.0,0.0
269,270,0,0,0,135.6333,1.0,0.0
270,271,1,0,0,31.0,0.0,0.0
271,272,1,0,0,0.0,0.0,0.0
272,273,0,0,1,19.5,0.0,0.0
273,274,1,0,1,29.7,1.0,1.0
274,275,0,0,0,7.75,0.0,
275,276,0,1,0,77.9583,,0.0
276,277,0,0,0,7.75,0.0,0.0
277,278,1,0,0,0.0,0.0,0.0
278,279,1,4,1,29.125,0.0,
279,280,0,1,1,20.25,0.0,0.0
280,281,1,0,0,7.75,0.0,
281,282,1,0,0,7.8542,0.0,0.0
282,283,1,0,0,9.5,0.0,0.0
283,284,1,0,0,8.05,0.0,0.0
284,285,1,0,0,26.0,,0.0
285,286,1,0,0,8.6625,0.0,1.0
286,287,1,0,0,9.5,0.0,0.0
287,288,1,0,0,7.8958,0.0,0.0
288,289,1,0,0,13.0,0.0,0.0
289,290,0,0,0,7.75,0.0,
290,291,0,0,0,78.85,0.0,0.0
291,292,0,1,0,91.0792,,1.0
292,293,1,0,0,12.875,,1.0
293,294,0,0,0,8.85,0.0,0.0
294,295,1,0,0,7.8958,0.0,0.0
295,296,1,0,0,27.7208,0.0,1.0
296,297,1,0,0,7.2292,0.0,1.0
297,298,0,1,2,151.55,1.0,0.0
298,299,1,0,0,30.5,1.0,0.0
299,300,0,0,1,247.5208,,1.0
300,301,0,0,0,7.75,0.0,
301,302,1,2,0,23.25,0.0,
302,303,1,0,0,0.0,0.0,0.0
303,304,0,0,0,12.35,,
304,305,1,0,0,8.05,0.0,0.0
305,306,1,1,2,151.55,1.0,0.0
306,307,0,0,0,110.8833,0.0,1.0
307,308,0,1,0,108.9,1.0,1.0
308,309,1,1,0,24.0,0.0,1.0
309,310,0,0,0,56.9292,,1.0
310,311,0,0,0,83.1583,1.0,1.0
311,312,0,2,2,262.375,,1.0
312,313,0,1,1,26.0,0.0,0.0
313,314,1,0,0,7.8958,0.0,0.0
314,315,1,1,1,26.25,0.0,0.0
315,316,0,0,0,7.8542,0.0,0.0
316,317,0,1,0,26.0,0.0,0.0
317,318,1,0,0,14.0,0.0,0.0
318,319,0,0,2,164.8667,1.0,0.0
319,320,0,1,1,134.5,,1.0
320,321,1,0,0,7.25,0.0,0.0
321,322,1,0,0,7.8958,0.0,0.0
322,323,0,0,0,12.35,0.0,
323,324,0,1,1,29.0,0.0,0.0
324,325,1,8,2,69.55,0.0,0.0
325,326,0,0,0,135.6333,1.0,1.0
326,327,1,0,0,6.2375,0.0,0.0
327,328,0,0,0,13.0,,0.0
328,329,0,1,1,20.525,0.0,0.0
329,330,0,0,1,57.9792,,1.0
330,331,0,2,0,23.25,0.0,
331,332,1,0,0,28.5,1.0,0.0
332,333,1,0,1,153.4625,1.0,0.0
333,334,1,2,0,18.0,0.0,0.0
334,335,0,1,0,133.65,0.0,0.0
335,336,1,0,0,7.8958,0.0,0.0
336,337,1,1,0,66.6,1.0,0.0
337,338,0,0,0,134.5,,1.0
338,339,1,0,0,8.05,0.0,0.0
339,340,1,0,0,35.5,,0.0
340,341,1,1,1,26.0,,0.0
341,342,0,3,2,263.0,1.0,0.0
342,343,1,0,0,13.0,0.0,0.0
343,344,1,0,0,13.0,0.0,0.0
344,345,1,0,0,13.0,0.0,0.0
345,346,0,0,0,13.0,,0.0
346,347,0,0,0,13.0,0.0,0.0
347,348,0,1,0,16.1,0.0,0.0
348,349,1,1,1,15.9,0.0,0.0
349,350,1,0,0,8.6625,0.0,0.0
350,351,1,0,0,9.225,0.0,0.0
351,352,1,0,0,35.0,1.0,0.0
352,353,1,1,1,7.2292,0.0,1.0
353,354,1,1,0,17.8,0.0,0.0
354,355,1,0,0,7.225,0.0,1.0
355,356,1,0,0,9.5,0.0,0.0
356,357,0,0,1,55.0,,0.0
357,358,0,0,0,13.0,0.0,0.0
358,359,0,0,0,7.8792,0.0,
359,360,0,0,0,7.8792,0.0,
360,361,1,1,4,27.9,0.0,0.0
361,362,1,1,0,27.7208,0.0,1.0
362,363,0,0,1,14.4542,0.0,1.0
363,364,1,0,0,7.05,0.0,0.0
364,365,1,1,0,15.5,0.0,
365,366,1,0,0,7.25,0.0,0.0
366,367,0,1,0,75.25,,1.0
367,368,0,0,0,7.2292,0.0,1.0
368,369,0,0,0,7.75,0.0,
369,370,0,0,0,69.3,,1.0
370,371,1,1,0,55.4417,,1.0
371,372,1,1,0,6.4958,0.0,0.0
372,373,1,0,0,8.05,0.0,0.0
373,374,1,0,0,135.6333,0.0,1.0
374,375,0,3,1,21.075,0.0,0.0
375,376,0,1,0,82.1708,0.0,1.0
376,377,0,0,0,7.25,0.0,0.0
377,378,1,0,2,211.5,1.0,1.0
378,379,1,0,0,4.0125,0.0,1.0
379,380,1,0,0,7.775,0.0,0.0
380,381,0,0,0,227.525,0.0,1.0
381,382,0,0,2,15.7417,0.0,1.0
382,383,1,0,0,7.925,0.0,0.0
383,384,0,1,0,52.0,0.0,0.0
384,385,1,0,0,7.8958,0.0,0.0
385,386,1,0,0,73.5,0.0,0.0
386,387,1,5,2,46.9,0.0,0.0
387,388,0,0,0,13.0,0.0,0.0
388,389,1,0,0,7.7292,0.0,
389,390,0,0,0,12.0,0.0,1.0
390,391,1,1,2,120.0,,0.0
391,392,1,0,0,7.7958,0.0,0.0
392,393,1,2,0,7.925,0.0,0.0
393,394,0,1,0,113.275,,1.0
394,395,0,0,2,16.7,,0.0
395,396,1,0,0,7.7958,0.0,0.0
396,397,0,0,0,7.8542,0.0,0.0
397,398,1,0,0,26.0,0.0,0.0
398,399,1,0,0,10.5,0.0,0.0
399,400,0,0,0,12.65,0.0,0.0
400,401,1,0,0,7.925,0.0,0.0
401,402,1,0,0,8.05,0.0,0.0
402,403,0,1,0,9.825,0.0,0.0
403,404,1,1,0,15.85,0.0,0.0
404,405,0,0,0,8.6625,0.0,0.0
405,406,1,1,0,21.0,0.0,0.0
406,407,1,0,0,7.75,0.0,0.0
407,408,1,1,1,18.75,0.0,0.0
408,409,1,0,0,7.775,0.0,0.0
409,410,0,3,1,25.4667,0.0,0.0
410,411,1,0,0,7.8958,0.0,0.0
411,412,1,0,0,6.8583,0.0,
412,413,0,1,0,90.0,1.0,
413,414,1,0,0,0.0,0.0,0.0
414,415,1,0,0,7.925,0.0,0.0
415,416,0,0,0,8.05,0.0,0.0
416,417,0,1,1,32.5,0.0,0.0
417,418,0,0,2,13.0,0.0,0.0
418,419,1,0,0,13.0,0.0,0.0
419,420,0,0,2,24.15,0.0,0.0
420,421,1,0,0,7.8958,0.0,1.0
421,422,1,0,0,7.7333,0.0,
422,423,1,0,0,7.875,0.0,0.0
423,424,0,1,1,14.4,0.0,0.0
424,425,1,1,1,20.2125,0.0,0.0
425,426,1,0,0,7.25,0.0,0.0
426,427,0,1,0,26.0,0.0,0.0
427,428,0,0,0,26.0,0.0,0.0
428,429,1,0,0,7.75,0.0,
429,430,1,0,0,8.05,,0.0
430,431,1,0,0,26.55,1.0,0.0
431,432,0,1,0,16.1,0.0,0.0
432,433,0,1,0,26.0,0.0,0.0
433,434,1,0,0,7.125,0.0,0.0
434,435,1,1,0,55.9,,0.0
435,436,0,1,2,120.0,,0.0
436,437,0,2,2,34.375,0.0,0.0
437,438,0,2,3,18.75,0.0,0.0
438,439,1,1,4,263.0,1.0,0.0
439,440,1,0,0,10.5,0.0,0.0
440,441,0,1,1,26.25,0.0,0.0
441,442,1,0,0,9.5,0.0,0.0
442,443,1,1,0,7.775,0.0,0.0
443,444,0,0,0,13.0,0.0,0.0
444,445,1,0,0,8.1125,0.0,0.0
445,446,1,0,2,81.8583,,0.0
446,447,0,0,1,19.5,0.0,0.0
447,448,1,0,0,26.55,0.0,0.0
448,449,0,2,1,19.2583,0.0,1.0
449,450,1,0,0,30.5,1.0,0.0
450,451,1,1,2,27.75,0.0,0.0
451,452,1,1,0,19.9667,0.0,0.0
452,453,1,0,0,27.75,1.0,1.0
453,454,1,1,0,89.1042,1.0,1.0
454,455,1,0,0,8.05,0.0,0.0
455,456,1,0,0,7.8958,0.0,1.0
456,457,1,0,0,26.55,,0.0
457,458,0,1,0,51.8625,,0.0
458,459,0,0,0,10.5,0.0,0.0
459,460,1,0,0,7.75,0.0,
460,461,1,0,0,26.55,,0.0
461,462,1,0,0,8.05,0.0,0.0
462,463,1,0,0,38.5,,0.0
463,464,1,0,0,13.0,0.0,0.0
464,465,1,0,0,8.05,0.0,0.0
465,466,1,0,0,7.05,0.0,0.0
466,467,1,0,0,0.0,0.0,0.0
467,468,1,0,0,26.55,0.0,0.0
468,469,1,0,0,7.725,0.0,
469,470,0,2,1,19.2583,0.0,1.0
470,471,1,0,0,7.25,0.0,0.0
471,472,1,0,0,8.6625,0.0,0.0
472,473,0,1,2,27.75,0.0,0.0
473,474,0,0,0,13.7917,,1.0
474,475,0,0,0,9.8375,0.0,0.0
475,476,1,0,0,52.0,,0.0
476,477,1,1,0,21.0,0.0,0.0
477,478,1,1,0,7.0458,0.0,0.0
478,479,1,0,0,7.5208,0.0,0.0
479,480,0,0,1,12.2875,0.0,0.0
480,481,1,5,2,46.9,0.0,0.0
481,482,1,0,0,0.0,0.0,0.0
482,483,1,0,0,8.05,0.0,0.0
483,484,0,0,0,9.5875,0.0,0.0
484,485,1,1,0,91.0792,,1.0
485,486,0,3,1,25.4667,0.0,0.0
486,487,0,1,0,90.0,1.0,0.0
487,488,1,0,0,29.7,,1.0
488,489,1,0,0,8.05,0.0,0.0
489,490,1,1,1,15.9,0.0,0.0
490,491,1,1,0,19.9667,0.0,0.0
491,492,1,0,0,7.25,0.0,0.0
492,493,1,0,0,30.5,1.0,0.0
493,494,1,0,0,49.5042,0.0,1.0
494,495,1,0,0,8.05,0.0,0.0
495,496,1,0,0,14.4583,0.0,1.0
496,497,0,1,0,78.2667,,1.0
497,498,1,0,0,15.1,0.0,0.0
498,499,0,1,2,151.55,1.0,0.0
499,500,1,0,0,7.7958,0.0,0.0
500,501,1,0,0,8.6625,0.0,0.0
501,502,0,0,0,7.75,0.0,
502,503,0,0,0,7.6292,0.0,
503,504,0,0,0,9.5875,0.0,0.0
504,505,0,0,0,86.5,,0.0
505,506,1,1,0,108.9,1.0,1.0
506,507,0,0,2,26.0,0.0,0.0
507,508,1,0,0,26.55,0.0,0.0
508,509,1,0,0,22.525,0.0,0.0
509,510,1,0,0,56.4958,0.0,0.0
510,511,1,0,0,7.75,0.0,
511,512,1,0,0,8.05,0.0,0.0
512,513,1,0,0,26.2875,,0.0
513,514,0,1,0,59.4,0.0,1.0
514,515,1,0,0,7.4958,0.0,0.0
515,516,1,0,0,34.0208,,0.0
516,517,0,0,0,10.5,,0.0
517,518,1,0,0,24.15,0.0,
518,519,0,1,0,26.0,0.0,0.0
519,520,1,0,0,7.8958,0.0,0.0
520,521,0,0,0,93.5,,0.0
521,522,1,0,0,7.8958,0.0,0.0
522,523,1,0,0,7.225,0.0,1.0
523,524,0,0,1,57.9792,,1.0
524,525,1,0,0,7.2292,0.0,1.0
525,526,1,0,0,7.75,0.0,
526,527,0,0,0,10.5,0.0,0.0
527,528,1,0,0,221.7792,1.0,0.0
528,529,1,0,0,7.925,0.0,0.0
529,530,1,2,1,11.5,0.0,0.0
530,531,0,1,1,26.0,0.0,0.0
531,532,1,0,0,7.2292,0.0,1.0
532,533,1,1,1,7.2292,0.0,1.0
533,534,0,0,2,22.3583,0.0,1.0
534,535,0,0,0,8.6625,0.0,0.0
535,536,0,0,2,26.25,0.0,0.0
536,537,1,0,0,26.55,,0.0
537,538,0,0,0,106.425,0.0,1.0
538,539,1,0,0,14.5,0.0,0.0
539,540,0,0,2,49.5,,1.0
540,541,0,0,2,71.0,,0.0
541,542,0,4,2,31.275,0.0,0.0
542,543,0,4,2,31.275,0.0,0.0
543,544,1,1,0,26.0,0.0,0.0
544,545,1,1,0,106.425,1.0,1.0
545,546,1,0,0,26.0,0.0,0.0
546,547,0,1,0,26.0,0.0,0.0
547,548,1,0,0,13.8625,0.0,1.0
548,549,1,1,1,20.525,0.0,0.0
549,550,1,1,1,36.75,0.0,0.0
550,551,1,0,2,110.8833,1.0,1.0
551,552,1,0,0,26.0,0.0,0.0
552,553,1,0,0,7.8292,0.0,
553,554,1,0,0,7.225,0.0,1.0
554,555,0,0,0,7.775,0.0,0.0
555,556,1,0,0,26.55,0.0,0.0
556,557,0,1,0,39.6,,1.0
557,558,1,0,0,227.525,0.0,1.0
558,559,0,1,1,79.65,,0.0
559,560,0,1,0,17.4,0.0,0.0
560,561,1,0,0,7.75,0.0,
561,562,1,0,0,7.8958,0.0,0.0
562,563,1,0,0,13.5,0.0,0.0
563,564,1,0,0,8.05,0.0,0.0
564,565,0,0,0,8.05,0.0,0.0
565,566,1,2,0,24.15,0.0,0.0
566,567,1,0,0,7.8958,0.0,0.0
567,568,0,0,4,21.075,0.0,0.0
568,569,1,0,0,7.2292,0.0,1.0
569,570,1,0,0,7.8542,0.0,0.0
570,571,1,0,0,10.5,0.0,0.0
571,572,0,2,0,51.4792,1.0,0.0
572,573,1,0,0,26.3875,,0.0
573,574,0,0,0,7.75,0.0,
574,575,1,0,0,8.05,0.0,0.0
575,576,1,0,0,14.5,0.0,0.0
576,577,0,0,0,13.0,0.0,0.0
577,578,0,1,0,55.9,,0.0
578,579,0,1,0,14.4583,0.0,1.0
579,580,1,0,0,7.925,0.0,0.0
580,581,0,1,1,30.0,0.0,0.0
581,582,0,1,1,110.8833,1.0,1.0
582,583,1,0,0,26.0,0.0,0.0
583,584,1,0,0,40.125,,1.0
584,585,1,0,0,8.7125,0.0,1.0
585,586,0,0,2,79.65,,0.0
586,587,1,0,0,15.0,0.0,0.0
587,588,1,1,1,79.2,,1.0
588,589,1,0,0,8.05,0.0,0.0
589,590,1,0,0,8.05,0.0,0.0
590,591,1,0,0,7.125,0.0,0.0
591,592,0,1,0,78.2667,,1.0
592,593,1,0,0,7.25,0.0,0.0
593,594,0,0,2,7.75,0.0,
594,595,1,1,0,26.0,0.0,0.0
595,596,1,1,1,24.15,0.0,0.0
596,597,0,0,0,33.0,0.0,0.0
597,598,1,0,0,0.0,0.0,0.0
598,599,1,0,0,7.225,0.0,1.0
599,600,1,1,0,56.9292,,1.0
600,601,0,2,1,27.0,0.0,0.0
601,602,1,0,0,7.8958,0.0,0.0
602,603,1,0,0,42.4,0.0,0.0
603,604,1,0,0,8.05,0.0,0.0
604,605,1,0,0,26.55,0.0,1.0
605,606,1,1,0,15.55,0.0,0.0
606,607,1,0,0,7.8958,0.0,0.0
607,608,1,0,0,30.5,0.0,0.0
608,609,0,1,2,41.5792,0.0,1.0
609,610,0,0,0,153.4625,1.0,0.0
610,611,0,1,5,31.275,0.0,0.0
611,612,1,0,0,7.05,0.0,0.0
612,613,0,1,0,15.5,0.0,
613,614,1,0,0,7.75,0.0,
614,615,1,0,0,8.05,0.0,0.0
615,616,0,1,2,65.0,0.0,0.0
616,617,1,1,1,14.4,0.0,0.0
617,618,0,1,0,16.1,0.0,0.0
618,619,0,2,1,39.0,,0.0
619,620,1,0,0,10.5,0.0,0.0
620,621,1,1,0,14.4542,0.0,1.0
621,622,1,1,0,52.5542,,0.0
622,623,1,1,1,15.7417,0.0,1.0
623,624,1,0,0,7.8542,0.0,0.0
624,625,1,0,0,16.1,0.0,0.0
625,626,1,0,0,32.3208,,0.0
626,627,1,0,0,12.35,0.0,
627,628,0,0,0,77.9583,,0.0
628,629,1,0,0,7.8958,0.0,0.0
629,630,1,0,0,7.7333,0.0,
630,631,1,0,0,30.0,,0.0
631,632,1,0,0,7.0542,0.0,0.0
632,633,1,0,0,30.5,,1.0
633,634,1,0,0,0.0,0.0,0.0
634,635,0,3,2,27.9,0.0,0.0
635,636,0,0,0,13.0,0.0,0.0
636,637,1,0,0,7.925,0.0,0.0
637,638,1,1,1,26.25,0.0,0.0
638,639,0,0,5,39.6875,0.0,0.0
639,640,1,1,0,16.1,0.0,0.0
640,641,1,0,0,7.8542,0.0,0.0
641,642,0,0,0,69.3,,1.0
642,643,0,3,2,27.9,0.0,0.0
643,644,1,0,0,56.4958,0.0,0.0
644,645,0,2,1,19.2583,0.0,1.0
645,646,1,1,0,76.7292,,1.0
